Metrics,NO OVERSAMPLING|DT,G-SMOTE|DT
ACCURACY,0.5141676505312869,0.46202282565918934
F-SCORE MACRO,0.2455668090994937,0.2825387102865204
G-MEAN MACRO,0.4883167613971158,0.5110508341617049
