Classifier,Metric,Perc. diff.
LR,Accuracy,2.11
LR,F-score,8.48
LR,G-mean,7.85
KNN,Accuracy,30.93
KNN,F-score,12.92
KNN,G-mean,3.50
DT,Accuracy,14.23
DT,F-score,6.98
DT,G-mean,6.01
GBC,Accuracy,2.46
GBC,F-score,5.30
GBC,G-mean,3.49
RF,Accuracy,4.03
RF,F-score,7.60
RF,G-mean,4.98
