Classifier,Metric,NO OS,RAND OS,SMOTE,B-SMOTE,ADASYN,G-SMOTE
LR,G-MEAN MACRO,6,3,4,2,5,1
LR,F-SCORE MACRO,3,4,5,2,6,1
LR,ACCURACY,1,4,5,2,6,3
KNN,G-MEAN MACRO,3,6,4,2,5,1
KNN,F-SCORE MACRO,2,6,4,3,5,1
KNN,ACCURACY,1,4,5,3,6,2
DT,G-MEAN MACRO,5,6,4,2,3,1
DT,F-SCORE MACRO,5,6,4,1,3,2
DT,ACCURACY,1,4,5,3,6,2
GBC,G-MEAN MACRO,6,5,3,2,4,1
GBC,F-SCORE MACRO,3,5,4,2,6,1
GBC,ACCURACY,1,4,5,3,6,2
RF,G-MEAN MACRO,6,5,3,2,4,1
RF,F-SCORE MACRO,6,5,2,3,4,1
RF,ACCURACY,1,3,5,4,6,2
