Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,K-SMOTE
LR,Accuracy,0.906 $\pm$ 0.039,0.904 $\pm$ 0.04,0.904 $\pm$ 0.04,0.901 $\pm$ 0.04,\textbf{0.909 $\pm$ 0.038}
LR,F-score,0.891 $\pm$ 0.041,0.893 $\pm$ 0.042,0.893 $\pm$ 0.042,0.890 $\pm$ 0.042,\textbf{0.898 $\pm$ 0.04}
LR,G-mean,0.936 $\pm$ 0.025,0.940 $\pm$ 0.025,0.940 $\pm$ 0.025,0.937 $\pm$ 0.025,\textbf{0.943 $\pm$ 0.024}
KNN,Accuracy,0.879 $\pm$ 0.043,0.865 $\pm$ 0.048,0.867 $\pm$ 0.05,0.862 $\pm$ 0.054,\textbf{0.881 $\pm$ 0.045}
KNN,F-score,0.859 $\pm$ 0.05,0.853 $\pm$ 0.049,0.861 $\pm$ 0.047,0.851 $\pm$ 0.053,\textbf{0.866 $\pm$ 0.048}
KNN,G-mean,0.919 $\pm$ 0.03,0.920 $\pm$ 0.029,0.926 $\pm$ 0.027,0.918 $\pm$ 0.03,\textbf{0.927 $\pm$ 0.027}
RF,Accuracy,0.898 $\pm$ 0.032,0.901 $\pm$ 0.031,0.900 $\pm$ 0.031,0.898 $\pm$ 0.032,\textbf{0.905 $\pm$ 0.031}
RF,F-score,0.879 $\pm$ 0.041,0.885 $\pm$ 0.037,0.887 $\pm$ 0.036,0.883 $\pm$ 0.037,\textbf{0.891 $\pm$ 0.036}
RF,G-mean,0.930 $\pm$ 0.024,0.935 $\pm$ 0.022,0.937 $\pm$ 0.021,0.935 $\pm$ 0.021,\textbf{0.939 $\pm$ 0.02}
