Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,GSDOT
LR,ACCURACY,3.64 $\pm$ 0.39,3.71 $\pm$ 0.46,2.21 $\pm$ 0.26,4.14 $\pm$ 0.40,1.29 $\pm$ 0.18
LR,G-MEAN,4.14 $\pm$ 0.40,3.57 $\pm$ 0.43,1.86 $\pm$ 0.26,3.29 $\pm$ 0.57,2.14 $\pm$ 0.55
KNN,ACCURACY,3.43 $\pm$ 0.38,4.43 $\pm$ 0.30,2.29 $\pm$ 0.21,3.36 $\pm$ 0.53,1.50 $\pm$ 0.33
KNN,G-MEAN,3.93 $\pm$ 0.35,4.00 $\pm$ 0.44,2.21 $\pm$ 0.26,3.21 $\pm$ 0.58,1.64 $\pm$ 0.32
DT,ACCURACY,3.43 $\pm$ 0.35,3.64 $\pm$ 0.36,2.93 $\pm$ 0.48,3.86 $\pm$ 0.47,1.14 $\pm$ 0.14
DT,G-MEAN,3.79 $\pm$ 0.46,3.79 $\pm$ 0.26,2.50 $\pm$ 0.39,3.79 $\pm$ 0.41,1.14 $\pm$ 0.14
GBC,ACCURACY,4.29 $\pm$ 0.31,3.21 $\pm$ 0.34,3.00 $\pm$ 0.39,3.36 $\pm$ 0.52,1.14 $\pm$ 0.14
GBC,G-MEAN,4.21 $\pm$ 0.31,3.50 $\pm$ 0.36,2.93 $\pm$ 0.41,3.21 $\pm$ 0.51,1.14 $\pm$ 0.14
