Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,G-SMOTE
LR,ACCURACY,0.90 $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,0.89 $\pm$ 0.03,0.90 $\pm$ 0.03
LR,G-MEAN,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.87 $\pm$ 0.04,0.87 $\pm$ 0.04,0.87 $\pm$ 0.04
KNN,ACCURACY,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,0.87 $\pm$ 0.04,0.85 $\pm$ 0.04,0.87 $\pm$ 0.04
KNN,G-MEAN,0.80 $\pm$ 0.06,0.82 $\pm$ 0.05,0.84 $\pm$ 0.04,0.83 $\pm$ 0.05,0.84 $\pm$ 0.04
DT,ACCURACY,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.86 $\pm$ 0.05,0.85 $\pm$ 0.06,0.89 $\pm$ 0.04
DT,G-MEAN,0.83 $\pm$ 0.06,0.84 $\pm$ 0.05,0.84 $\pm$ 0.06,0.83 $\pm$ 0.06,0.86 $\pm$ 0.05
GBC,ACCURACY,0.87 $\pm$ 0.05,0.88 $\pm$ 0.05,0.88 $\pm$ 0.05,0.88 $\pm$ 0.05,0.90 $\pm$ 0.04
GBC,G-MEAN,0.85 $\pm$ 0.06,0.85 $\pm$ 0.06,0.86 $\pm$ 0.05,0.85 $\pm$ 0.06,0.89 $\pm$ 0.04
