Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,GSDOT
LR,ACCURACY,3.21 $\pm$ 0.43,3.29 $\pm$ 0.29,2.64 $\pm$ 0.42,4.43 $\pm$ 0.57,1.43 $\pm$ 0.30
LR,G-MEAN,4.14 $\pm$ 0.46,3.29 $\pm$ 0.29,2.86 $\pm$ 0.40,3.43 $\pm$ 0.65,1.29 $\pm$ 0.18
KNN,ACCURACY,4.00 $\pm$ 0.53,3.36 $\pm$ 0.28,2.00 $\pm$ 0.58,4.07 $\pm$ 0.17,1.57 $\pm$ 0.20
KNN,G-MEAN,4.43 $\pm$ 0.30,3.57 $\pm$ 0.30,1.57 $\pm$ 0.20,4.00 $\pm$ 0.31,1.43 $\pm$ 0.20
DT,ACCURACY,3.21 $\pm$ 0.41,3.36 $\pm$ 0.36,3.21 $\pm$ 0.46,4.21 $\pm$ 0.31,1.00 $\pm$ 0.00
DT,G-MEAN,3.50 $\pm$ 0.42,3.07 $\pm$ 0.49,3.36 $\pm$ 0.36,3.93 $\pm$ 0.44,1.14 $\pm$ 0.14
GBC,ACCURACY,3.64 $\pm$ 0.36,3.14 $\pm$ 0.34,2.93 $\pm$ 0.41,4.00 $\pm$ 0.44,1.29 $\pm$ 0.29
GBC,G-MEAN,3.43 $\pm$ 0.37,3.14 $\pm$ 0.40,3.14 $\pm$ 0.40,4.00 $\pm$ 0.44,1.29 $\pm$ 0.29
