Classifier,Metric,Difference
LR,ACCURACY,0.40 $\pm$ 0.15
LR,G-MEAN,1.05 $\pm$ 0.58
KNN,ACCURACY,1.93 $\pm$ 0.50
KNN,G-MEAN,7.27 $\pm$ 4.51
DT,ACCURACY,4.13 $\pm$ 1.88
DT,G-MEAN,4.67 $\pm$ 1.97
GBC,ACCURACY,4.39 $\pm$ 2.51
GBC,G-MEAN,5.67 $\pm$ 3.00
