Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,G-SMOTE,BENCHMARK METHOD
LR,ACCURACY,4.29 $\pm$ 0.52,4.71 $\pm$ 0.18,3.29 $\pm$ 0.42,5.14 $\pm$ 0.59,2.57 $\pm$ 0.20,1.00 $\pm$ 0.00
LR,G-MEAN,4.64 $\pm$ 0.39,4.79 $\pm$ 0.31,3.29 $\pm$ 0.36,4.43 $\pm$ 0.69,2.86 $\pm$ 0.55,1.00 $\pm$ 0.00
KNN,ACCURACY,5.14 $\pm$ 0.34,4.71 $\pm$ 0.29,2.57 $\pm$ 0.20,4.86 $\pm$ 0.55,2.71 $\pm$ 0.29,1.00 $\pm$ 0.00
KNN,G-MEAN,5.57 $\pm$ 0.20,4.29 $\pm$ 0.29,3.00 $\pm$ 0.44,4.29 $\pm$ 0.68,2.86 $\pm$ 0.26,1.00 $\pm$ 0.00
DT,ACCURACY,5.36 $\pm$ 0.30,4.29 $\pm$ 0.24,3.93 $\pm$ 0.34,4.43 $\pm$ 0.13,2.00 $\pm$ 0.00,1.00 $\pm$ 0.00
DT,G-MEAN,5.14 $\pm$ 0.32,4.29 $\pm$ 0.26,3.86 $\pm$ 0.24,4.43 $\pm$ 0.35,2.29 $\pm$ 0.29,1.00 $\pm$ 0.00
GBC,ACCURACY,4.43 $\pm$ 0.32,4.36 $\pm$ 0.40,3.71 $\pm$ 0.34,5.29 $\pm$ 0.47,2.21 $\pm$ 0.21,1.00 $\pm$ 0.00
GBC,G-MEAN,4.50 $\pm$ 0.45,4.50 $\pm$ 0.39,3.64 $\pm$ 0.28,4.86 $\pm$ 0.59,2.50 $\pm$ 0.33,1.00 $\pm$ 0.00
