Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,G-SMOTE,BENCHMARK METHOD
LR,ACCURACY,4.21 $\pm$ 0.43,4.29 $\pm$ 0.29,3.64 $\pm$ 0.42,5.43 $\pm$ 0.57,2.43 $\pm$ 0.30,1.00 $\pm$ 0.00
LR,G-MEAN,5.14 $\pm$ 0.46,4.29 $\pm$ 0.29,3.86 $\pm$ 0.40,4.43 $\pm$ 0.65,2.29 $\pm$ 0.18,1.00 $\pm$ 0.00
KNN,ACCURACY,5.00 $\pm$ 0.53,4.36 $\pm$ 0.28,3.00 $\pm$ 0.58,5.07 $\pm$ 0.17,2.57 $\pm$ 0.20,1.00 $\pm$ 0.00
KNN,G-MEAN,5.43 $\pm$ 0.30,4.57 $\pm$ 0.30,2.57 $\pm$ 0.20,5.00 $\pm$ 0.31,2.43 $\pm$ 0.20,1.00 $\pm$ 0.00
DT,ACCURACY,4.21 $\pm$ 0.41,4.36 $\pm$ 0.36,4.21 $\pm$ 0.46,5.21 $\pm$ 0.31,2.00 $\pm$ 0.00,1.00 $\pm$ 0.00
DT,G-MEAN,4.50 $\pm$ 0.42,4.07 $\pm$ 0.49,4.36 $\pm$ 0.36,4.93 $\pm$ 0.44,2.14 $\pm$ 0.14,1.00 $\pm$ 0.00
GBC,ACCURACY,4.64 $\pm$ 0.36,4.14 $\pm$ 0.34,3.93 $\pm$ 0.41,5.00 $\pm$ 0.44,2.29 $\pm$ 0.29,1.00 $\pm$ 0.00
GBC,G-MEAN,4.43 $\pm$ 0.37,4.14 $\pm$ 0.40,4.14 $\pm$ 0.40,5.00 $\pm$ 0.44,2.29 $\pm$ 0.29,1.00 $\pm$ 0.00
