Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,G-SMOTE,BENCHMARK METHOD
LR,ACCURACY,4.00 $\pm$ 0.49,4.64 $\pm$ 0.24,3.86 $\pm$ 0.46,5.36 $\pm$ 0.42,2.14 $\pm$ 0.14,1.00 $\pm$ 0.00
LR,G-MEAN,4.43 $\pm$ 0.43,4.86 $\pm$ 0.34,3.71 $\pm$ 0.47,4.57 $\pm$ 0.72,2.29 $\pm$ 0.18,1.14 $\pm$ 0.14
KNN,ACCURACY,4.86 $\pm$ 0.46,4.57 $\pm$ 0.30,2.79 $\pm$ 0.49,5.00 $\pm$ 0.53,2.21 $\pm$ 0.31,1.57 $\pm$ 0.37
KNN,G-MEAN,5.43 $\pm$ 0.30,4.57 $\pm$ 0.30,2.57 $\pm$ 0.30,4.57 $\pm$ 0.65,2.29 $\pm$ 0.18,1.57 $\pm$ 0.43
DT,ACCURACY,4.14 $\pm$ 0.40,4.29 $\pm$ 0.36,4.14 $\pm$ 0.51,5.00 $\pm$ 0.44,2.14 $\pm$ 0.40,1.29 $\pm$ 0.18
DT,G-MEAN,4.43 $\pm$ 0.30,4.00 $\pm$ 0.44,4.14 $\pm$ 0.51,4.86 $\pm$ 0.55,2.43 $\pm$ 0.37,1.14 $\pm$ 0.14
GBC,ACCURACY,4.71 $\pm$ 0.42,4.00 $\pm$ 0.44,3.86 $\pm$ 0.51,4.86 $\pm$ 0.40,2.43 $\pm$ 0.37,1.14 $\pm$ 0.14
GBC,G-MEAN,4.86 $\pm$ 0.26,4.14 $\pm$ 0.51,4.00 $\pm$ 0.58,4.43 $\pm$ 0.43,2.43 $\pm$ 0.37,1.14 $\pm$ 0.14
