Classifier,Metric,Difference
LR,ACCURACY,0.58 $\pm$ 0.29
LR,G-MEAN,0.35 $\pm$ 0.18
KNN,ACCURACY,0.64 $\pm$ 0.60
KNN,G-MEAN,0.62 $\pm$ 0.93
DT,ACCURACY,4.23 $\pm$ 2.28
DT,G-MEAN,4.24 $\pm$ 2.27
GBC,ACCURACY,3.06 $\pm$ 2.02
GBC,G-MEAN,3.44 $\pm$ 2.39
