0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,target
161,210,195,2002,797,372,150,265,256,2195,943,454,552,809,1075,2974,3246,1900,544,800,1091,2889,3465,2023,566,764,1029,2999,3195,1807,490,652,819,2972,2669,1418,449,617,716,2973,2428,1258,339,536,556,3005,2039,1016,5
266,412,404,1740,1434,811,436,576,633,1868,1532,926,426,691,727,1934,2409,1565,485,660,696,1931,2161,1354,551,754,834,2082,2364,1539,559,785,887,2060,2385,1518,468,631,697,1862,1985,1254,322,468,445,1573,1391,798,0
362,523,564,1834,1666,984,375,498,561,1916,1810,1064,396,589,611,2114,2102,1184,436,612,652,2199,2189,1232,474,645,718,2297,2174,1239,436,612,685,2169,2106,1161,442,592,662,2030,2019,1124,410,556,619,1930,1947,1118,0
477,778,917,2559,2261,1462,362,715,789,2623,2686,1740,406,790,861,2654,2645,1725,575,927,1184,2592,3315,2104,654,887,1231,2359,3612,2399,614,993,1316,2298,3884,2580,706,1013,1375,2347,3495,2358,610,941,1174,1934,3251,2307,4
291,468,531,1749,1946,1191,316,500,552,1887,2103,1317,674,1031,1296,2490,3243,2584,858,1272,1610,2690,3663,2951,847,1203,1565,2726,3720,2929,824,1220,1571,2659,3664,2837,758,1194,1502,2503,3421,2669,749,1046,1343,2341,3085,2405,0
234,380,464,1632,1876,1116,240,418,461,1652,2028,1213,735,1142,1481,2590,3707,2811,756,1180,1528,2729,3784,2822,760,1184,1521,2754,3801,2859,765,1202,1582,2752,3925,2844,742,1151,1531,2583,3731,2694,614,948,1261,2281,3253,2242,0
289,662,602,3625,2064,1073,301,672,596,3721,2147,1138,662,1037,1277,3079,3064,2135,707,1137,1520,3140,3449,2257,774,1165,1638,2853,3941,2739,869,1373,1906,3086,4239,2922,854,1297,1748,2846,4111,2889,669,978,1309,2262,3377,2279,4
234,401,446,1915,1629,957,247,432,460,1977,1764,1063,353,558,627,1970,1898,1188,397,592,689,1944,2003,1268,413,605,735,1886,2144,1405,380,614,782,1861,2263,1414,400,618,780,1920,2240,1379,351,535,631,1882,1811,1081,0
283,498,537,1236,1252,884,345,567,655,1489,1466,1051,473,800,954,1836,1819,1340,522,893,1069,2026,2143,1536,531,886,1090,1924,2164,1580,538,885,1123,1887,2141,1583,553,865,1082,1845,2119,1534,425,717,857,1560,1677,1202,2
298,469,521,1480,1485,965,356,589,694,1647,1613,1108,466,755,824,2071,1983,1351,437,759,863,2103,2098,1394,481,760,899,2006,2236,1482,494,817,1019,2013,2211,1467,452,756,937,1937,2099,1389,379,612,700,1625,1744,1117,3
166,361,415,1714,1176,722,176,355,385,1573,1292,765,328,541,594,1858,1539,1001,287,529,551,1857,1597,980,304,532,571,1800,1588,997,320,526,597,1791,1609,994,355,597,680,1918,1653,1011,273,502,531,1841,1482,896,1
137,337,335,1996,1105,565,136,370,388,2060,1209,694,213,510,509,2423,1447,805,256,566,542,2563,1518,838,218,527,510,2511,1593,861,196,485,462,2399,1537,784,225,551,565,2374,1534,843,216,488,451,2389,1310,698,0
214,459,494,2334,1525,878,251,500,550,2218,1694,961,269,523,546,2182,1594,918,240,508,489,2193,1419,823,274,572,571,2269,1585,906,262,568,591,2405,1623,892,287,573,566,2461,1514,804,247,555,525,2606,1489,799,0
22,120,97,1019,337,159,44,147,124,1176,441,216,150,288,281,1536,825,438,166,333,321,1593,948,510,165,328,304,1565,929,493,119,300,293,1564,890,451,155,334,322,1622,839,418,112,282,239,1489,622,314,0
53,177,163,1700,733,338,60,193,188,1716,848,412,115,261,264,1681,980,482,159,320,314,1809,1094,545,148,312,282,1835,1118,537,109,332,319,2093,1295,616,160,344,358,1966,1170,573,149,311,284,1980,1008,494,0
91,231,241,1859,870,424,115,249,256,1844,970,486,243,418,430,1941,1329,731,216,407,406,1935,1365,734,219,400,405,1999,1293,669,181,371,370,2054,1268,634,195,399,381,2118,1215,586,178,369,339,2136,1030,477,0
175,388,426,2310,1779,1032,166,386,387,2255,1724,975,195,448,429,2584,1531,841,285,544,508,3219,1700,915,288,545,562,2837,1915,1076,248,495,564,2374,2079,1181,294,515,589,2198,2019,1136,253,441,471,2061,1874,1088,3
94,229,206,1674,852,429,105,270,244,1829,955,482,242,460,402,2514,1236,631,185,419,347,2622,1252,625,277,498,500,2322,1571,883,224,444,459,2046,1527,873,220,428,418,1897,1375,786,239,405,398,1842,1263,734,0
267,558,580,2646,2245,1294,264,557,564,2745,2300,1337,353,730,654,3422,2289,1303,282,655,552,3911,2157,1095,303,662,680,3348,2318,1256,302,601,671,3049,2389,1287,334,584,665,2595,2363,1377,283,518,538,2309,2161,1245,3
339,599,490,3174,1508,778,235,491,295,3543,1356,636,417,828,608,4041,2085,1153,724,1084,1271,3035,2835,2142,451,732,660,3575,2209,1303,258,461,346,4033,1639,762,305,485,341,3598,1578,727,2064,2144,2161,3194,2770,2231,2
471,749,806,2108,2140,1352,367,691,568,2795,1920,1047,305,677,343,5152,1561,710,1012,1520,1991,2880,4237,3579,474,746,690,3549,2419,1446,241,433,263,4964,1486,584,275,468,292,4648,1501,597,2956,3116,3157,4362,3932,3250,2
177,348,306,2158,1063,626,276,396,396,2213,1289,759,395,668,773,3032,2094,1229,464,811,1069,3135,2916,1803,539,786,1061,3047,2785,1714,504,811,1022,3103,2783,1663,410,664,800,2482,2228,1361,426,620,733,2292,2210,1386,0
228,463,412,2775,1601,788,262,480,420,2828,1654,844,473,851,825,3406,2168,1425,386,692,694,3148,2182,1148,403,750,856,2902,2600,1510,464,685,770,2594,2507,1360,407,662,738,2476,2413,1393,357,559,588,2302,2047,1156,4
276,382,421,1547,1195,772,281,399,417,1500,1204,766,273,499,534,1544,1452,931,445,660,724,2100,1955,1259,451,686,795,2021,2037,1353,486,647,751,2123,2001,1239,354,528,552,1806,1619,1014,397,661,699,1881,1650,1096,0
114,226,165,1964,639,297,146,264,200,2030,753,363,213,415,356,2360,1046,537,201,405,334,2327,1064,518,195,396,312,2350,1020,495,2568,2598,2626,3806,3257,2757,198,414,375,2089,995,503,603,1141,1179,3006,2011,1413,0
210,349,455,1988,1847,990,208,381,498,2182,2036,1154,265,542,504,2866,1973,1081,283,551,553,3337,2264,1212,281,564,542,3487,2276,1191,242,549,521,3274,2064,1045,241,470,417,3028,1737,858,218,405,346,2596,1584,790,0
107,202,197,1787,718,362,115,232,248,1831,859,449,260,406,400,2267,1280,721,219,457,454,2489,1406,748,198,414,410,2482,1423,731,188,342,321,2294,1243,581,145,332,324,2236,1222,607,171,282,235,2053,879,390,0
324,527,593,2018,1906,1183,338,566,600,2252,2103,1297,385,629,642,2375,1905,1145,466,868,909,3276,2989,1867,464,786,825,3430,2982,1816,515,822,952,3182,2736,1631,450,731,842,2849,2533,1549,327,579,573,2513,2137,1255,2
282,573,536,2802,2042,1173,290,601,577,2904,2138,1256,557,842,877,3357,2382,1442,391,811,824,3475,2537,1499,460,784,899,3093,2763,1672,501,796,998,2927,2854,1679,433,760,965,2570,2886,1834,398,648,741,2320,2354,1493,4
253,348,345,1558,1148,728,271,378,397,1582,1170,739,333,527,548,1697,1249,816,304,569,571,1924,1750,1234,332,580,611,1957,1668,1155,322,435,443,1866,1604,958,252,436,412,1838,1749,1156,306,461,501,1682,1199,800,0
152,266,235,1881,934,474,139,259,245,1853,1049,532,236,499,442,2253,1200,655,172,362,271,2351,1076,506,192,360,276,2662,1125,514,164,351,300,2475,1081,495,136,312,261,2290,1013,478,142,306,217,2159,886,392,0
559,1007,1248,2781,3053,2078,658,1104,1383,2874,3383,2321,1218,1605,1913,3635,3461,2433,815,1466,1634,4294,3628,2630,1036,1699,2111,3816,4179,3115,973,1502,1975,3389,4431,3159,977,1519,1948,3180,4389,3338,752,1114,1359,2785,3276,2198,4
252,407,505,1563,1539,925,317,532,701,1985,2320,1381,831,1084,1132,2620,2302,1540,386,644,723,2504,2487,1419,363,644,683,2746,2519,1449,394,672,731,2806,2337,1269,318,578,632,2474,2082,1149,298,475,553,2152,1837,1009,0
209,380,514,2058,1757,964,217,405,551,2084,2008,1119,962,834,863,2417,1303,868,290,590,472,3965,2034,1028,243,532,384,4289,1794,834,213,493,417,3663,1751,819,173,404,311,3467,1541,701,164,381,286,3332,1386,585,4
467,793,847,2982,2384,1516,491,863,887,3106,2637,1664,773,1203,1504,2793,3478,2678,612,1005,1096,3224,2870,1848,445,840,720,4503,2494,1404,524,941,985,3763,2842,1790,565,912,1033,3111,2990,2047,473,877,787,3929,2419,1476,2
369,630,703,2578,1927,1226,349,584,657,2360,1840,1180,350,628,676,2619,1699,1047,347,615,640,2316,1528,962,356,606,670,2072,1781,1220,339,580,646,2052,1812,1142,339,593,670,2038,1806,1169,427,669,766,2211,1868,1224,3
358,615,702,2025,1431,922,362,634,713,1916,1487,981,404,706,821,2054,1644,1101,378,716,831,2272,1739,1136,437,732,846,2339,1751,1124,403,732,847,2306,1761,1136,395,648,754,2074,1597,1044,309,568,644,2054,1401,880,0
104,191,220,736,715,458,139,240,289,951,1002,646,202,387,363,1777,1300,766,251,606,476,3102,1631,859,245,537,495,2868,1809,969,231,505,516,2354,1869,1038,169,381,383,1742,1517,873,137,214,243,657,879,674,3
299,553,553,2585,1822,1020,287,586,519,3002,1779,989,357,672,590,3221,2160,1232,204,639,588,3518,2107,1183,530,935,1070,3422,3062,1887,541,859,1084,2976,2912,1855,483,753,915,2374,2622,1804,233,572,568,2510,2066,1238,0
353,603,689,2669,2319,1382,299,601,615,2685,2514,1483,327,643,590,3197,2370,1292,278,619,525,3833,2145,1097,319,630,609,3586,2355,1251,391,668,836,2720,2678,1557,336,569,687,2043,2651,1712,320,520,542,2376,2250,1315,4
126,271,337,2036,1273,614,142,319,412,2109,1512,781,190,379,418,1770,1188,666,207,486,402,3402,1706,827,234,493,418,3678,1726,818,214,529,513,3317,1665,794,223,472,502,2620,1631,805,181,377,393,2398,1425,695,1
