Dataset,Classifier,Oversampling method,Metric,Mean CV score
haberman10,LogisticRegression,RandomOverSampler,roc auc score,0.8325925925925926
haberman10,LogisticRegression,SMOTE,f1 score,0.2166666666666667
haberman10,LogisticRegression,SMOTE,geometric mean score,0.7335289355086426
haberman10,LogisticRegression,SMOTE,roc auc score,0.8355555555555556
haberman10,LogisticRegression,SMOTE2,f1 score,0.2275828460038986
haberman10,LogisticRegression,SMOTE2,geometric mean score,0.7368819637199008
haberman10,LogisticRegression,SMOTE2,roc auc score,0.8474074074074075
haberman2,GradientBoostingClassifier,ADASYN,f1 score,0.3582248915582249
haberman2,GradientBoostingClassifier,ADASYN,geometric mean score,0.6068999785348315
haberman2,GradientBoostingClassifier,ADASYN,roc auc score,0.6850427350427352
haberman2,GradientBoostingClassifier,None,f1 score,0.2436438690308659
haberman2,GradientBoostingClassifier,None,geometric mean score,0.3974434658949902
haberman2,GradientBoostingClassifier,None,roc auc score,0.7032112332112334
haberman2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.31362363689949896
haberman2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5569669228319211
haberman2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6849572649572652
haberman2,GradientBoostingClassifier,SMOTE,f1 score,0.3361160803021268
haberman2,GradientBoostingClassifier,SMOTE,geometric mean score,0.5892984323155089
haberman2,GradientBoostingClassifier,SMOTE,roc auc score,0.6726862026862027
haberman2,GradientBoostingClassifier,SMOTE2,f1 score,0.3690763934666374
haberman2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6232344749922089
haberman2,GradientBoostingClassifier,SMOTE2,roc auc score,0.6979487179487179
haberman2,LogisticRegression,ADASYN,f1 score,0.4653442317916003
haberman2,LogisticRegression,ADASYN,geometric mean score,0.7028830130001119
haberman2,LogisticRegression,ADASYN,roc auc score,0.7306227106227107
haberman2,LogisticRegression,None,f1 score,0.14285714285714288
haberman2,LogisticRegression,None,geometric mean score,0.24258224956548533
haberman2,LogisticRegression,None,roc auc score,0.7315018315018316
haberman2,LogisticRegression,RandomOverSampler,f1 score,0.4632374309793665
haberman2,LogisticRegression,RandomOverSampler,geometric mean score,0.6920115942517301
haberman2,LogisticRegression,RandomOverSampler,roc auc score,0.7264224664224663
haberman2,LogisticRegression,SMOTE,f1 score,0.46634615384615385
haberman2,LogisticRegression,SMOTE,geometric mean score,0.7027771533666098
haberman2,LogisticRegression,SMOTE,roc auc score,0.7327228327228328
haberman2,LogisticRegression,SMOTE2,f1 score,0.4457314457314457
haberman2,LogisticRegression,SMOTE2,geometric mean score,0.6638272044399668
haberman2,LogisticRegression,SMOTE2,roc auc score,0.7266422466422466
haberman4,GradientBoostingClassifier,ADASYN,f1 score,0.2706356736242884
haberman4,GradientBoostingClassifier,ADASYN,geometric mean score,0.6306004025432058
haberman4,GradientBoostingClassifier,ADASYN,roc auc score,0.7268253968253968
haberman4,GradientBoostingClassifier,None,f1 score,0.10256410256410256
haberman4,GradientBoostingClassifier,None,geometric mean score,0.17335775163779107
haberman4,GradientBoostingClassifier,None,roc auc score,0.7494179894179895
haberman4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.2587408837408837
haberman4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5922559843312954
haberman4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.6821693121693122
haberman4,GradientBoostingClassifier,SMOTE,f1 score,0.2933057280883368
haberman4,GradientBoostingClassifier,SMOTE,geometric mean score,0.6760647157519055
haberman4,GradientBoostingClassifier,SMOTE,roc auc score,0.7377777777777778
haberman4,GradientBoostingClassifier,SMOTE2,f1 score,0.3115079365079365
haberman4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6210318548873356
haberman4,GradientBoostingClassifier,SMOTE2,roc auc score,0.791904761904762
haberman4,LogisticRegression,ADASYN,f1 score,0.3355227148330597
haberman4,LogisticRegression,ADASYN,geometric mean score,0.6793718528768157
haberman4,LogisticRegression,ADASYN,roc auc score,0.8061375661375662
haberman4,LogisticRegression,None,f1 score,0.0
haberman4,LogisticRegression,None,geometric mean score,0.0
haberman4,LogisticRegression,None,roc auc score,0.7684656084656084
haberman4,LogisticRegression,RandomOverSampler,f1 score,0.3357228195937873
haberman4,LogisticRegression,RandomOverSampler,geometric mean score,0.6785440299337252
haberman4,LogisticRegression,RandomOverSampler,roc auc score,0.8116402116402117
haberman4,LogisticRegression,SMOTE,f1 score,0.32127192982456143
haberman4,LogisticRegression,SMOTE,geometric mean score,0.6730775669681529
haberman4,LogisticRegression,SMOTE,roc auc score,0.8105820105820106
haberman4,LogisticRegression,SMOTE2,f1 score,0.35727752639517346
haberman4,LogisticRegression,SMOTE2,geometric mean score,0.6704303839234821
haberman4,LogisticRegression,SMOTE2,roc auc score,0.812910052910053
haberman6,GradientBoostingClassifier,ADASYN,f1 score,0.2962962962962963
haberman6,GradientBoostingClassifier,ADASYN,geometric mean score,0.7125451583675938
haberman6,GradientBoostingClassifier,ADASYN,roc auc score,0.8612222222222222
haberman6,GradientBoostingClassifier,None,f1 score,0.11111111111111112
haberman6,GradientBoostingClassifier,None,geometric mean score,0.14907119849998599
haberman6,GradientBoostingClassifier,None,roc auc score,0.7745555555555557
haberman6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.26794871794871794
haberman6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.65236619947352
haberman6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8047777777777778
haberman6,GradientBoostingClassifier,SMOTE,f1 score,0.3826086956521739
haberman6,GradientBoostingClassifier,SMOTE,geometric mean score,0.8102333106407154
haberman6,GradientBoostingClassifier,SMOTE,roc auc score,0.8593333333333334
haberman6,GradientBoostingClassifier,SMOTE2,f1 score,0.2814814814814815
haberman6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5063522567394888
haberman6,GradientBoostingClassifier,SMOTE2,roc auc score,0.8354444444444443
haberman6,LogisticRegression,ADASYN,f1 score,0.3140096618357488
haberman6,LogisticRegression,ADASYN,geometric mean score,0.7509955636954256
haberman6,LogisticRegression,ADASYN,roc auc score,0.847111111111111
haberman6,LogisticRegression,None,f1 score,0.0
haberman6,LogisticRegression,None,geometric mean score,0.0
haberman6,LogisticRegression,None,roc auc score,0.8173333333333334
haberman6,LogisticRegression,RandomOverSampler,f1 score,0.31313131313131315
haberman6,LogisticRegression,RandomOverSampler,geometric mean score,0.7509432225180035
haberman6,LogisticRegression,RandomOverSampler,roc auc score,0.8513333333333334
haberman6,LogisticRegression,SMOTE,f1 score,0.31746031746031744
haberman6,LogisticRegression,SMOTE,geometric mean score,0.7530859886343975
haberman6,LogisticRegression,SMOTE,roc auc score,0.8479999999999999
haberman6,LogisticRegression,SMOTE2,f1 score,0.32756132756132755
haberman6,LogisticRegression,SMOTE2,geometric mean score,0.7291342418434444
haberman6,LogisticRegression,SMOTE2,roc auc score,0.85
heart,GradientBoostingClassifier,ADASYN,f1 score,0.7899789029535865
heart,GradientBoostingClassifier,ADASYN,geometric mean score,0.8111619676619174
heart,GradientBoostingClassifier,ADASYN,roc auc score,0.88225
heart,GradientBoostingClassifier,None,f1 score,0.775899599697068
heart,GradientBoostingClassifier,None,geometric mean score,0.7997876304839912
heart,GradientBoostingClassifier,None,roc auc score,0.8905
heart,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7661505161505161
heart,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7904803275904371
heart,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8748333333333335
heart,GradientBoostingClassifier,SMOTE,f1 score,0.7849794238683128
heart,GradientBoostingClassifier,SMOTE,geometric mean score,0.8056670513416145
heart,GradientBoostingClassifier,SMOTE,roc auc score,0.8881666666666668
heart,GradientBoostingClassifier,SMOTE2,f1 score,0.7664947358404732
heart,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7892735591770274
heart,GradientBoostingClassifier,SMOTE2,roc auc score,0.8644999999999999
heart,LogisticRegression,ADASYN,f1 score,0.8217078189300413
heart,LogisticRegression,ADASYN,geometric mean score,0.8390354326647914
heart,LogisticRegression,ADASYN,roc auc score,0.8975666666666665
heart,LogisticRegression,None,f1 score,0.7996391294692428
heart,LogisticRegression,None,geometric mean score,0.8204818282572178
heart,LogisticRegression,None,roc auc score,0.8961666666666666
heart,LogisticRegression,RandomOverSampler,f1 score,0.8080025524821586
heart,LogisticRegression,RandomOverSampler,geometric mean score,0.8271748958639519
heart,LogisticRegression,RandomOverSampler,roc auc score,0.8973666666666666
heart,LogisticRegression,SMOTE,f1 score,0.8056199155596747
heart,LogisticRegression,SMOTE,geometric mean score,0.8237566113714572
heart,LogisticRegression,SMOTE,roc auc score,0.8943333333333333
heart,LogisticRegression,SMOTE2,f1 score,0.8135210994967093
heart,LogisticRegression,SMOTE2,geometric mean score,0.8298431186263896
heart,LogisticRegression,SMOTE2,roc auc score,0.8956666666666667
heart10,GradientBoostingClassifier,ADASYN,f1 score,0.5142857142857143
heart10,GradientBoostingClassifier,ADASYN,geometric mean score,0.6333333333333333
heart10,GradientBoostingClassifier,ADASYN,roc auc score,0.9058333333333334
heart10,GradientBoostingClassifier,None,f1 score,0.35555555555555557
heart10,GradientBoostingClassifier,None,geometric mean score,0.40236892706218247
heart10,GradientBoostingClassifier,None,roc auc score,0.9533333333333335
heart10,GradientBoostingClassifier,RandomOverSampler,f1 score,0.36190476190476195
heart10,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.5560436489563875
heart10,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9291666666666668
heart10,GradientBoostingClassifier,SMOTE,f1 score,0.6126984126984127
heart10,GradientBoostingClassifier,SMOTE,geometric mean score,0.7489165207912937
heart10,GradientBoostingClassifier,SMOTE,roc auc score,0.9200000000000002
heart10,GradientBoostingClassifier,SMOTE2,f1 score,0.41111111111111115
heart10,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5625983566193781
heart10,GradientBoostingClassifier,SMOTE2,roc auc score,0.9441666666666666
heart10,LogisticRegression,ADASYN,f1 score,0.4871794871794872
heart10,LogisticRegression,ADASYN,geometric mean score,0.7181644120597804
heart10,LogisticRegression,ADASYN,roc auc score,0.8603333333333334
heart10,LogisticRegression,None,f1 score,0.4148148148148148
heart10,LogisticRegression,None,geometric mean score,0.5618551533467014
heart10,LogisticRegression,None,roc auc score,0.8916666666666666
heart10,LogisticRegression,RandomOverSampler,f1 score,0.468997668997669
heart10,LogisticRegression,RandomOverSampler,geometric mean score,0.7737664083559768
heart10,LogisticRegression,RandomOverSampler,roc auc score,0.86
heart10,LogisticRegression,SMOTE,f1 score,0.44273504273504266
heart10,LogisticRegression,SMOTE,geometric mean score,0.71175787563757
heart10,LogisticRegression,SMOTE,roc auc score,0.8883333333333333
heart10,LogisticRegression,SMOTE2,f1 score,0.5023310023310024
heart10,LogisticRegression,SMOTE2,geometric mean score,0.7786288499276516
heart10,LogisticRegression,SMOTE2,roc auc score,0.9033333333333333
heart15,GradientBoostingClassifier,ADASYN,f1 score,0.13333333333333333
heart15,GradientBoostingClassifier,ADASYN,geometric mean score,0.19051586888313607
heart15,GradientBoostingClassifier,ADASYN,roc auc score,0.8911111111111112
heart15,GradientBoostingClassifier,None,f1 score,0.22222222222222224
heart15,GradientBoostingClassifier,None,geometric mean score,0.23570226039551584
heart15,GradientBoostingClassifier,None,roc auc score,0.8483333333333333
heart15,GradientBoostingClassifier,RandomOverSampler,f1 score,0.22857142857142856
heart15,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.4165935349873117
heart15,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8033333333333333
heart15,GradientBoostingClassifier,SMOTE,f1 score,0.07407407407407408
heart15,GradientBoostingClassifier,SMOTE,geometric mean score,0.22110831935702663
heart15,GradientBoostingClassifier,SMOTE,roc auc score,0.9166666666666666
heart15,GradientBoostingClassifier,SMOTE2,f1 score,0.16666666666666666
heart15,GradientBoostingClassifier,SMOTE2,geometric mean score,0.2333333333333333
heart15,GradientBoostingClassifier,SMOTE2,roc auc score,0.9233333333333335
heart15,LogisticRegression,ADASYN,f1 score,0.24444444444444446
heart15,LogisticRegression,ADASYN,geometric mean score,0.3790776771995487
heart15,LogisticRegression,ADASYN,roc auc score,0.7444444444444445
heart15,LogisticRegression,None,f1 score,0.3
heart15,LogisticRegression,None,geometric mean score,0.38296595861301136
heart15,LogisticRegression,None,roc auc score,0.7877777777777778
heart15,LogisticRegression,RandomOverSampler,f1 score,0.2804232804232804
heart15,LogisticRegression,RandomOverSampler,geometric mean score,0.5962574123817356
heart15,LogisticRegression,RandomOverSampler,roc auc score,0.7522222222222222
heart15,LogisticRegression,SMOTE,f1 score,0.34888888888888886
heart15,LogisticRegression,SMOTE,geometric mean score,0.6715227681033806
heart15,LogisticRegression,SMOTE,roc auc score,0.7722222222222221
heart15,LogisticRegression,SMOTE2,f1 score,0.3611111111111111
heart15,LogisticRegression,SMOTE2,geometric mean score,0.6760428746672343
heart15,LogisticRegression,SMOTE2,roc auc score,0.8031111111111111
heart2,GradientBoostingClassifier,ADASYN,f1 score,0.7095052369442615
heart2,GradientBoostingClassifier,ADASYN,geometric mean score,0.7982774972627813
heart2,GradientBoostingClassifier,ADASYN,roc auc score,0.8696666666666667
heart2,GradientBoostingClassifier,None,f1 score,0.6655122655122655
heart2,GradientBoostingClassifier,None,geometric mean score,0.738395949573159
heart2,GradientBoostingClassifier,None,roc auc score,0.8844999999999998
heart2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.6759553827422332
heart2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.7706543656071091
heart2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8523333333333334
heart2,GradientBoostingClassifier,SMOTE,f1 score,0.6924852348827439
heart2,GradientBoostingClassifier,SMOTE,geometric mean score,0.782097541066188
heart2,GradientBoostingClassifier,SMOTE,roc auc score,0.8713333333333333
heart2,GradientBoostingClassifier,SMOTE2,f1 score,0.7008495262257588
heart2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7909191369964796
heart2,GradientBoostingClassifier,SMOTE2,roc auc score,0.8851666666666667
heart2,LogisticRegression,ADASYN,f1 score,0.7400210798313615
heart2,LogisticRegression,ADASYN,geometric mean score,0.8256401159055585
heart2,LogisticRegression,ADASYN,roc auc score,0.8883333333333333
heart2,LogisticRegression,None,f1 score,0.7212418300653595
heart2,LogisticRegression,None,geometric mean score,0.7852873815112108
heart2,LogisticRegression,None,roc auc score,0.891
heart2,LogisticRegression,RandomOverSampler,f1 score,0.7233330182139031
heart2,LogisticRegression,RandomOverSampler,geometric mean score,0.8169951829180683
heart2,LogisticRegression,RandomOverSampler,roc auc score,0.89
heart2,LogisticRegression,SMOTE,f1 score,0.7283834586466167
heart2,LogisticRegression,SMOTE,geometric mean score,0.8160976433547228
heart2,LogisticRegression,SMOTE,roc auc score,0.889
heart2,LogisticRegression,SMOTE2,f1 score,0.7009276437847866
heart2,LogisticRegression,SMOTE2,geometric mean score,0.8004884746522855
heart2,LogisticRegression,SMOTE2,roc auc score,0.8853333333333332
heart4,GradientBoostingClassifier,ADASYN,f1 score,0.49437318787163986
heart4,GradientBoostingClassifier,ADASYN,geometric mean score,0.6502342849451954
heart4,GradientBoostingClassifier,ADASYN,roc auc score,0.7639999999999999
heart4,GradientBoostingClassifier,None,f1 score,0.3162393162393162
heart4,GradientBoostingClassifier,None,geometric mean score,0.4442171134490347
heart4,GradientBoostingClassifier,None,roc auc score,0.807
heart4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.427936507936508
heart4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6544149132436387
heart4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7223333333333334
heart4,GradientBoostingClassifier,SMOTE,f1 score,0.5888888888888889
heart4,GradientBoostingClassifier,SMOTE,geometric mean score,0.7440423216682738
heart4,GradientBoostingClassifier,SMOTE,roc auc score,0.8130000000000001
heart4,GradientBoostingClassifier,SMOTE2,f1 score,0.46422205245734655
heart4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.6363032659700193
heart4,GradientBoostingClassifier,SMOTE2,roc auc score,0.7989999999999999
heart4,LogisticRegression,ADASYN,f1 score,0.5232800266533401
heart4,LogisticRegression,ADASYN,geometric mean score,0.7379657886056262
heart4,LogisticRegression,ADASYN,roc auc score,0.834
heart4,LogisticRegression,None,f1 score,0.612280701754386
heart4,LogisticRegression,None,geometric mean score,0.7225281225012158
heart4,LogisticRegression,None,roc auc score,0.8673333333333334
heart4,LogisticRegression,RandomOverSampler,f1 score,0.5327144120247569
heart4,LogisticRegression,RandomOverSampler,geometric mean score,0.7530229788003803
heart4,LogisticRegression,RandomOverSampler,roc auc score,0.8473333333333335
heart4,LogisticRegression,SMOTE,f1 score,0.5909056053983589
heart4,LogisticRegression,SMOTE,geometric mean score,0.7982649813555357
heart4,LogisticRegression,SMOTE,roc auc score,0.8626666666666667
heart4,LogisticRegression,SMOTE2,f1 score,0.5634456511649494
heart4,LogisticRegression,SMOTE2,geometric mean score,0.7627237558550636
heart4,LogisticRegression,SMOTE2,roc auc score,0.852
heart6,GradientBoostingClassifier,ADASYN,f1 score,0.37222222222222223
heart6,GradientBoostingClassifier,ADASYN,geometric mean score,0.5264636698105447
heart6,GradientBoostingClassifier,ADASYN,roc auc score,0.8017460317460315
heart6,GradientBoostingClassifier,None,f1 score,0.26515151515151514
heart6,GradientBoostingClassifier,None,geometric mean score,0.34201284761667106
heart6,GradientBoostingClassifier,None,roc auc score,0.8022222222222222
heart6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.3635964912280702
heart6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.6225447047682618
heart6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.7490476190476191
heart6,GradientBoostingClassifier,SMOTE,f1 score,0.5622710622710622
heart6,GradientBoostingClassifier,SMOTE,geometric mean score,0.7667320564591714
heart6,GradientBoostingClassifier,SMOTE,roc auc score,0.8485714285714288
heart6,GradientBoostingClassifier,SMOTE2,f1 score,0.4694444444444444
heart6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7219403123707043
heart6,GradientBoostingClassifier,SMOTE2,roc auc score,0.8301587301587302
heart6,LogisticRegression,ADASYN,f1 score,0.4416924664602682
heart6,LogisticRegression,ADASYN,geometric mean score,0.7113223127333933
heart6,LogisticRegression,ADASYN,roc auc score,0.7884126984126985
heart6,LogisticRegression,None,f1 score,0.5707070707070706
heart6,LogisticRegression,None,geometric mean score,0.6939903357452263
heart6,LogisticRegression,None,roc auc score,0.8358730158730159
heart6,LogisticRegression,RandomOverSampler,f1 score,0.4639376218323587
heart6,LogisticRegression,RandomOverSampler,geometric mean score,0.7416385377340218
heart6,LogisticRegression,RandomOverSampler,roc auc score,0.8255555555555555
heart6,LogisticRegression,SMOTE,f1 score,0.5111111111111111
heart6,LogisticRegression,SMOTE,geometric mean score,0.728260482964895
heart6,LogisticRegression,SMOTE,roc auc score,0.825873015873016
heart6,LogisticRegression,SMOTE2,f1 score,0.5132275132275131
heart6,LogisticRegression,SMOTE2,geometric mean score,0.7318868903109855
heart6,LogisticRegression,SMOTE2,roc auc score,0.8292063492063491
iris,GradientBoostingClassifier,ADASYN,f1 score,0.9225589225589225
iris,GradientBoostingClassifier,ADASYN,geometric mean score,0.9441913156107283
iris,GradientBoostingClassifier,ADASYN,roc auc score,0.980462060046835
iris,GradientBoostingClassifier,None,f1 score,0.9136462665874431
iris,GradientBoostingClassifier,None,geometric mean score,0.9393353975408283
iris,GradientBoostingClassifier,None,roc auc score,0.9928513071895425
iris,GradientBoostingClassifier,RandomOverSampler,f1 score,0.9225589225589225
iris,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.9441913156107283
iris,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9851237286358394
iris,GradientBoostingClassifier,SMOTE,f1 score,0.9056382585794351
iris,GradientBoostingClassifier,SMOTE,geometric mean score,0.9339005663350232
iris,GradientBoostingClassifier,SMOTE,roc auc score,0.9869630561672084
iris,GradientBoostingClassifier,SMOTE2,f1 score,0.9136462665874431
iris,GradientBoostingClassifier,SMOTE2,geometric mean score,0.9393353975408283
iris,GradientBoostingClassifier,SMOTE2,roc auc score,0.9857004299045823
iris,LogisticRegression,ADASYN,f1 score,0.6185185185185186
iris,LogisticRegression,ADASYN,geometric mean score,0.7000172298596733
iris,LogisticRegression,ADASYN,roc auc score,0.7582726049421552
iris,LogisticRegression,None,f1 score,0.2812698412698413
iris,LogisticRegression,None,geometric mean score,0.4187279977484253
iris,LogisticRegression,None,roc auc score,0.7893270944741534
iris,LogisticRegression,RandomOverSampler,f1 score,0.6248518495415133
iris,LogisticRegression,RandomOverSampler,geometric mean score,0.7067581552212564
iris,LogisticRegression,RandomOverSampler,roc auc score,0.7816683268672889
iris,LogisticRegression,SMOTE,f1 score,0.6491651834901264
iris,LogisticRegression,SMOTE,geometric mean score,0.7297614388139745
iris,LogisticRegression,SMOTE,roc auc score,0.7907601097479992
iris,LogisticRegression,SMOTE2,f1 score,0.6325428194993413
iris,LogisticRegression,SMOTE2,geometric mean score,0.7157361471251944
iris,LogisticRegression,SMOTE2,roc auc score,0.7639107336339169
iris2,GradientBoostingClassifier,ADASYN,f1 score,0.8941176470588236
iris2,GradientBoostingClassifier,ADASYN,geometric mean score,0.9549926119926058
iris2,GradientBoostingClassifier,ADASYN,roc auc score,0.9700435729847495
iris2,GradientBoostingClassifier,None,f1 score,0.8325224826772815
iris2,GradientBoostingClassifier,None,geometric mean score,0.894516836526728
iris2,GradientBoostingClassifier,None,roc auc score,0.9886363636363636
iris2,GradientBoostingClassifier,RandomOverSampler,f1 score,0.8325224826772815
iris2,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.894516836526728
iris2,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9911616161616162
iris2,GradientBoostingClassifier,SMOTE,f1 score,0.8150932887774992
iris2,GradientBoostingClassifier,SMOTE,geometric mean score,0.8893473169802139
iris2,GradientBoostingClassifier,SMOTE,roc auc score,0.9848484848484848
iris2,GradientBoostingClassifier,SMOTE2,f1 score,0.8150932887774992
iris2,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8893473169802139
iris2,GradientBoostingClassifier,SMOTE2,roc auc score,0.9848484848484848
iris2,LogisticRegression,ADASYN,f1 score,0.4541813591049584
iris2,LogisticRegression,ADASYN,geometric mean score,0.663275706505115
iris2,LogisticRegression,ADASYN,roc auc score,0.7337591602297483
iris2,LogisticRegression,None,f1 score,0.0
iris2,LogisticRegression,None,geometric mean score,0.0
iris2,LogisticRegression,None,roc auc score,0.7567587641117054
iris2,LogisticRegression,RandomOverSampler,f1 score,0.46937821411874714
iris2,LogisticRegression,RandomOverSampler,geometric mean score,0.6859420866375805
iris2,LogisticRegression,RandomOverSampler,roc auc score,0.7511883541295306
iris2,LogisticRegression,SMOTE,f1 score,0.4567716141929036
iris2,LogisticRegression,SMOTE,geometric mean score,0.6749259427711345
iris2,LogisticRegression,SMOTE,roc auc score,0.75410972469796
iris2,LogisticRegression,SMOTE2,f1 score,0.44158872944480143
iris2,LogisticRegression,SMOTE2,geometric mean score,0.6581104118804608
iris2,LogisticRegression,SMOTE2,roc auc score,0.7566349772232126
iris4,GradientBoostingClassifier,ADASYN,f1 score,0.8053872053872055
iris4,GradientBoostingClassifier,ADASYN,geometric mean score,0.9696063358873376
iris4,GradientBoostingClassifier,ADASYN,roc auc score,0.9823232323232324
iris4,GradientBoostingClassifier,None,f1 score,0.546031746031746
iris4,GradientBoostingClassifier,None,geometric mean score,0.6785608944957696
iris4,GradientBoostingClassifier,None,roc auc score,0.9696969696969697
iris4,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7238095238095239
iris4,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8406778158891873
iris4,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9469696969696969
iris4,GradientBoostingClassifier,SMOTE,f1 score,0.6719576719576721
iris4,GradientBoostingClassifier,SMOTE,geometric mean score,0.7901701620953445
iris4,GradientBoostingClassifier,SMOTE,roc auc score,0.8686868686868687
iris4,GradientBoostingClassifier,SMOTE2,f1 score,0.634920634920635
iris4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.7852316174766037
iris4,GradientBoostingClassifier,SMOTE2,roc auc score,0.8613339275103981
iris4,LogisticRegression,ADASYN,f1 score,0.3511904761904761
iris4,LogisticRegression,ADASYN,geometric mean score,0.7065424987858661
iris4,LogisticRegression,ADASYN,roc auc score,0.7480689245395128
iris4,LogisticRegression,None,f1 score,0.0
iris4,LogisticRegression,None,geometric mean score,0.0
iris4,LogisticRegression,None,roc auc score,0.7113784907902555
iris4,LogisticRegression,RandomOverSampler,f1 score,0.33487654320987653
iris4,LogisticRegression,RandomOverSampler,geometric mean score,0.7032889637392051
iris4,LogisticRegression,RandomOverSampler,roc auc score,0.7017973856209151
iris4,LogisticRegression,SMOTE,f1 score,0.3525641025641026
iris4,LogisticRegression,SMOTE,geometric mean score,0.7210307441073427
iris4,LogisticRegression,SMOTE,roc auc score,0.7037284610814023
iris4,LogisticRegression,SMOTE2,f1 score,0.3635964912280702
iris4,LogisticRegression,SMOTE2,geometric mean score,0.7296526177798804
iris4,LogisticRegression,SMOTE2,roc auc score,0.7551247771836008
iris6,GradientBoostingClassifier,ADASYN,f1 score,0.7777777777777777
iris6,GradientBoostingClassifier,ADASYN,geometric mean score,0.9244178738008297
iris6,GradientBoostingClassifier,ADASYN,roc auc score,0.9932659932659933
iris6,GradientBoostingClassifier,None,f1 score,0.7238095238095239
iris6,GradientBoostingClassifier,None,geometric mean score,0.8621519170336814
iris6,GradientBoostingClassifier,None,roc auc score,0.9646464646464648
iris6,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7111111111111111
iris6,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8302321477969894
iris6,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.8846801346801346
iris6,GradientBoostingClassifier,SMOTE,f1 score,0.7904761904761904
iris6,GradientBoostingClassifier,SMOTE,geometric mean score,0.923319723391106
iris6,GradientBoostingClassifier,SMOTE,roc auc score,0.8880471380471381
iris6,GradientBoostingClassifier,SMOTE2,f1 score,0.6666666666666666
iris6,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8260767048902039
iris6,GradientBoostingClassifier,SMOTE2,roc auc score,0.8804713804713804
iris6,LogisticRegression,ADASYN,f1 score,0.29352869352869354
iris6,LogisticRegression,ADASYN,geometric mean score,0.7324435181563779
iris6,LogisticRegression,ADASYN,roc auc score,0.7645078233313528
iris6,LogisticRegression,None,f1 score,0.0
iris6,LogisticRegression,None,geometric mean score,0.0
iris6,LogisticRegression,None,roc auc score,0.7468805704099822
iris6,LogisticRegression,RandomOverSampler,f1 score,0.25
iris6,LogisticRegression,RandomOverSampler,geometric mean score,0.698997169722337
iris6,LogisticRegression,RandomOverSampler,roc auc score,0.7545058427411369
iris6,LogisticRegression,SMOTE,f1 score,0.25
iris6,LogisticRegression,SMOTE,geometric mean score,0.698997169722337
iris6,LogisticRegression,SMOTE,roc auc score,0.7642107347989701
iris6,LogisticRegression,SMOTE2,f1 score,0.22875816993464052
iris6,LogisticRegression,SMOTE2,geometric mean score,0.6726969781123673
iris6,LogisticRegression,SMOTE2,roc auc score,0.707466825113884
libra,GradientBoostingClassifier,ADASYN,f1 score,0.9039562289562288
libra,GradientBoostingClassifier,ADASYN,geometric mean score,0.9223811207550356
libra,GradientBoostingClassifier,ADASYN,roc auc score,0.970630787037037
libra,GradientBoostingClassifier,None,f1 score,0.8017135862913097
libra,GradientBoostingClassifier,None,geometric mean score,0.8277987919861601
