Dataset,Classifier,Oversampling method,Metric,Mean CV score
breast_tissue4,GradientBoostingClassifier,SMOTE,roc auc score,0.582024959742351
breast_tissue4,GradientBoostingClassifier,SMOTE2,f1 score,0.35555555555555557
breast_tissue4,GradientBoostingClassifier,SMOTE2,geometric mean score,0.5072067908000228
breast_tissue4,GradientBoostingClassifier,SMOTE2,roc auc score,0.7540257648953301
breast_tissue4,LogisticRegression,ADASYN,f1 score,0.35555555555555557
breast_tissue4,LogisticRegression,ADASYN,geometric mean score,0.6066381662894955
breast_tissue4,LogisticRegression,ADASYN,roc auc score,0.825402576489533
breast_tissue4,LogisticRegression,None,f1 score,0.5
breast_tissue4,LogisticRegression,None,geometric mean score,0.630070146073356
breast_tissue4,LogisticRegression,None,roc auc score,0.8258856682769726
breast_tissue4,LogisticRegression,RandomOverSampler,f1 score,0.3322751322751323
breast_tissue4,LogisticRegression,RandomOverSampler,geometric mean score,0.6109461507201192
breast_tissue4,LogisticRegression,RandomOverSampler,roc auc score,0.8207326892109501
breast_tissue4,LogisticRegression,SMOTE,f1 score,0.38412698412698415
breast_tissue4,LogisticRegression,SMOTE,geometric mean score,0.6567199456181224
breast_tissue4,LogisticRegression,SMOTE,roc auc score,0.8427133655394525
breast_tissue4,LogisticRegression,SMOTE2,f1 score,0.4666666666666666
breast_tissue4,LogisticRegression,SMOTE2,geometric mean score,0.6258399572012406
breast_tissue4,LogisticRegression,SMOTE2,roc auc score,0.8340177133655395
ecoli,GradientBoostingClassifier,ADASYN,f1 score,0.7429400024259265
ecoli,GradientBoostingClassifier,ADASYN,geometric mean score,0.8809615400433689
ecoli,GradientBoostingClassifier,ADASYN,roc auc score,0.9587793708997845
ecoli,GradientBoostingClassifier,None,f1 score,0.7675026123301986
ecoli,GradientBoostingClassifier,None,geometric mean score,0.8373823157315867
ecoli,GradientBoostingClassifier,None,roc auc score,0.9612122365432423
ecoli,GradientBoostingClassifier,RandomOverSampler,f1 score,0.7682083997873472
ecoli,GradientBoostingClassifier,RandomOverSampler,geometric mean score,0.8470201322038496
ecoli,GradientBoostingClassifier,RandomOverSampler,roc auc score,0.9665600519167479
ecoli,GradientBoostingClassifier,SMOTE,f1 score,0.7924242424242424
ecoli,GradientBoostingClassifier,SMOTE,geometric mean score,0.8853875041767797
ecoli,GradientBoostingClassifier,SMOTE,roc auc score,0.9611324584580629
ecoli,GradientBoostingClassifier,SMOTE2,f1 score,0.7787919765607393
ecoli,GradientBoostingClassifier,SMOTE2,geometric mean score,0.8478858354188155
ecoli,GradientBoostingClassifier,SMOTE2,roc auc score,0.9602529477636519
ecoli,LogisticRegression,ADASYN,f1 score,0.6281886684109881
ecoli,LogisticRegression,ADASYN,geometric mean score,0.8594112866064826
ecoli,LogisticRegression,ADASYN,roc auc score,0.9336917247924428
ecoli,LogisticRegression,None,f1 score,0.2619047619047619
ecoli,LogisticRegression,None,geometric mean score,0.38983982062338035
ecoli,LogisticRegression,None,roc auc score,0.9392474023328381
ecoli,LogisticRegression,RandomOverSampler,f1 score,0.689968668929894
ecoli,LogisticRegression,RandomOverSampler,geometric mean score,0.8762868073513819
ecoli,LogisticRegression,RandomOverSampler,roc auc score,0.9383578888815698
ecoli,LogisticRegression,SMOTE,f1 score,0.6936344577854013
ecoli,LogisticRegression,SMOTE,geometric mean score,0.8840872519829333
ecoli,LogisticRegression,SMOTE,roc auc score,0.9404055264011788
ecoli,LogisticRegression,SMOTE2,f1 score,0.6916170249503583
