Metrics,NO OVERSAMPLING|GBC,G-SMOTE|GBC
ACCURACY,0.5830381739472649,0.5611963793781976
F-SCORE MACRO,0.31197214757848124,0.3182296123436767
G-MEAN MACRO,0.5249851611145591,0.5434382446351331
