Metrics,NO OVERSAMPLING|KNN,G-SMOTE|KNN
ACCURACY,0.5578512396694215,0.5240062967335696
F-SCORE MACRO,0.28702327465733374,0.2708678323995943
G-MEAN MACRO,0.49615025251616274,0.49520366047531317
