Classifier,Metric,RANDOM OS,G-SMOTE,B-SMOTE,NO OS,SMOTE,ADASYN
LR,G-MEAN MACRO,3,1,2,6,4,5
LR,F-SCORE MACRO,4,1,2,3,5,6
KNN,G-MEAN MACRO,6,1,2,3,4,5
KNN,F-SCORE MACRO,6,1,3,2,4,5
DT,G-MEAN MACRO,6,1,2,5,4,3
DT,F-SCORE MACRO,6,2,1,5,4,3
GBC,G-MEAN MACRO,5,1,2,6,3,4
GBC,F-SCORE MACRO,5,1,2,3,4,6
RF,G-MEAN MACRO,5,1,2,6,3,4
RF,F-SCORE MACRO,5,1,3,6,2,4
