Classifier,Metric,Difference
LR,G-MEAN MACRO,7.85
LR,F-SCORE MACRO,8.48
KNN,G-MEAN MACRO,3.5
KNN,F-SCORE MACRO,12.92
DT,G-MEAN MACRO,6.01
DT,F-SCORE MACRO,6.98
GBC,G-MEAN MACRO,3.49
GBC,F-SCORE MACRO,5.3
RF,G-MEAN MACRO,4.98
RF,F-SCORE MACRO,7.6
