Metrics,NO OVERSAMPLING|RF,G-SMOTE|RF
ACCURACY,0.5873671782762692,0.5670995670995671
F-SCORE MACRO,0.3164556649476335,0.3355244009146145
G-MEAN MACRO,0.528182008740807,0.5629116212639307
