Metrics,NO OVERSAMPLING|LR,G-SMOTE|LR
ACCURACY,0.5716253443526171,0.49193231011412825
F-SCORE MACRO,0.2983474442627044,0.32937607942442826
G-MEAN MACRO,0.511625163137705,0.5671819225333165
