Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SMOTE
BREAST TISSUE,KNN,AUC,0.8347236097236097,0.8183161283161283,0.8217737817737817,0.8493240093240093
BREAST TISSUE,KNN,F-SCORE,0.5125824175824176,0.5491269414346337,0.5137286644978953,0.6027206127206127
BREAST TISSUE,KNN,G-MEAN,0.5997711949511172,0.7797484077710632,0.7270215277404736,0.798888587807889
BREAST TISSUE,DT,AUC,0.8970929070929071,0.849943944943945,0.8617551892551892,0.940378787878788
BREAST TISSUE,DT,F-SCORE,0.8440309690309692,0.7732639582639583,0.7972927072927073,0.887004107004107
BREAST TISSUE,DT,G-MEAN,0.8927999125593543,0.8360108216856424,0.8531986493993059,0.938372271037618
BREAST TISSUE,GBC,AUC,0.9697818847818848,0.9646964146964148,0.9693531468531468,0.998111888111888
BREAST TISSUE,GBC,F-SCORE,0.8819780219780221,0.8104391904391907,0.8375189625189625,0.9617049617049616
BREAST TISSUE,GBC,G-MEAN,0.9011189610058684,0.8512568251858711,0.8763656877062754,0.9701229257091708
IRIS,LR,AUC,1.0,1.0,1.0,1.0
IRIS,LR,F-SCORE,1.0,1.0,1.0,1.0
IRIS,LR,G-MEAN,1.0,1.0,1.0,1.0
IRIS,KNN,AUC,0.9737509257851394,0.9696832956479516,0.9696832956479516,0.9778167166141032
IRIS,KNN,F-SCORE,0.8866631196240135,0.8263190564866542,0.8203600248292986,0.8549968963376785
IRIS,KNN,G-MEAN,0.9671058328614364,0.9630397596893929,0.9625412931514687,0.9653317468195788
IRIS,DT,AUC,0.9817614196516596,0.9736143060576188,0.9654671924635776,0.9985211961879724
IRIS,DT,F-SCORE,0.9584996009577016,0.9460406136383788,0.9335816263190564,0.9776536312849164
IRIS,DT,G-MEAN,0.9805526447087592,0.9701715947942016,0.9597905448796444,0.9985157190616836
IRIS,GBC,AUC,0.9985211961879724,0.9985211961879724,0.9985211961879724,1.0
IRIS,GBC,F-SCORE,0.9776536312849164,0.9776536312849164,0.9776536312849164,0.9776536312849164
IRIS,GBC,G-MEAN,0.9985157190616836,0.9985157190616836,0.9985157190616836,0.9985157190616836
GLASS,LR,AUC,0.9587968091140648,0.9884923358269656,0.9865127477578716,0.9892965790149618
GLASS,LR,F-SCORE,0.6357268808777429,0.5336760580369039,0.5371262542625438,0.5660930925606783
GLASS,LR,G-MEAN,0.7022570400360189,0.9545593339542664,0.9339523011662202,0.9623213766309896
GLASS,KNN,AUC,0.9432081467122584,0.9492397030651342,0.999814415708812,0.9984843670847692
GLASS,KNN,F-SCORE,0.3997844827586207,0.8872452978056428,0.976717607105538,0.9818769592476491
GLASS,KNN,G-MEAN,0.4616313574770499,0.9087195907746451,0.9867331661310852,0.9826305192860196
GLASS,DT,AUC,0.9208452061794988,0.9419984541888741,0.9546813907796258,0.9949889231361974
GLASS,DT,F-SCORE,0.8737395506792058,0.7294684429414399,0.6912962259596386,0.859941934333415
GLASS,DT,G-MEAN,0.9142931561887236,0.93668525823433,0.9298808780198148,0.9932857032116459
GLASS,GBC,AUC,0.9975253588386592,0.9985152699294364,0.9991338619369706,1.0
GLASS,GBC,F-SCORE,0.9118790692066554,0.8516131138975966,0.8535736772805738,0.9837030785306649
GLASS,GBC,G-MEAN,0.9296827767738001,0.9127395315861824,0.971451314644859,0.998884838587646
YEAST 1,LR,AUC,0.8528221801457571,0.8459757423834428,0.8464626494122055,0.8491198017500398
YEAST 1,LR,F-SCORE,0.14049302644890882,0.21913836849367252,0.21805107609045507,0.2296314903860764
YEAST 1,LR,G-MEAN,0.2592011158944757,0.7895077372401355,0.7781193856820259,0.7924178714922943
YEAST 1,KNN,AUC,0.6686637566694373,0.6668417247291432,0.714214225115422,0.7514123695962142
YEAST 1,KNN,F-SCORE,0.08427763203085785,0.1968259039241601,0.17281288350041654,0.2567116672306728
YEAST 1,KNN,G-MEAN,0.19222107142357647,0.5249093282417455,0.6741086696859174,0.6791005092371475
