Classifier,Metric,NONE,ROS,SMOTE,B-SMOTE,K-SMOTE
LR,Accuracy,3.14 $\pm$ 0.47,3.00 $\pm$ 0.49,3.29 $\pm$ 0.42,4.29 $\pm$ 0.43,\textbf{1.29 $\pm$ 0.18}
LR,F-score,3.86 $\pm$ 0.26,2.71 $\pm$ 0.47,3.00 $\pm$ 0.44,4.29 $\pm$ 0.42,\textbf{1.14 $\pm$ 0.14}
LR,G-mean,4.29 $\pm$ 0.18,2.57 $\pm$ 0.48,2.57 $\pm$ 0.3,4.29 $\pm$ 0.42,\textbf{1.29 $\pm$ 0.18}
KNN,Accuracy,2.14 $\pm$ 0.55,4.14 $\pm$ 0.34,3.43 $\pm$ 0.43,3.86 $\pm$ 0.34,\textbf{1.43 $\pm$ 0.2}
KNN,F-score,2.86 $\pm$ 0.4,4.29 $\pm$ 0.29,2.71 $\pm$ 0.61,3.86 $\pm$ 0.34,\textbf{1.29 $\pm$ 0.18}
KNN,G-mean,3.57 $\pm$ 0.48,3.86 $\pm$ 0.4,1.86 $\pm$ 0.46,4.14 $\pm$ 0.26,\textbf{1.57 $\pm$ 0.2}
RF,Accuracy,3.29 $\pm$ 0.52,3.14 $\pm$ 0.4,3.14 $\pm$ 0.51,4.29 $\pm$ 0.29,\textbf{1.14 $\pm$ 0.14}
RF,F-score,3.86 $\pm$ 0.46,3.14 $\pm$ 0.51,3.00 $\pm$ 0.44,4.00 $\pm$ 0.22,\textbf{1.00 $\pm$ 0.0}
RF,G-mean,4.86 $\pm$ 0.14,3.00 $\pm$ 0.31,2.57 $\pm$ 0.3,3.57 $\pm$ 0.37,\textbf{1.00 $\pm$ 0.0}
