Dataset,Classifier,Metric,NO OVERSAMPLING,SMOTE,K-MEANS SMOTE
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7543782479509339,0.7945735056996324,0.7842189507761093
GLASS,DT,ROC AUC,0.7863736793986185,0.7905047914127048,0.8136893877827442
GLASS,DT,F1,0.6763977616339214,0.7038229329165563,0.7265231218680084
GLASS,DT,GEOMETRIC MEAN SCORE,0.7554646870427859,0.7806837246183753,0.7988845577842174
GLASS,GBC,ROC AUC,0.8977697920899363,0.9020003724773128,0.9029188676689692
GLASS,GBC,F1,0.7516610618121853,0.7459986524582456,0.7651618821924074
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8105977900478428,0.8117044218775178,0.8207960656119345
ECOLI (2),LR,ROC AUC,0.9091659943728,0.9071744692892147,0.9096190702677536
ECOLI (2),LR,F1,0.0,0.5150532533512885,0.5630017294533423
ECOLI (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8639702152339561,0.8771893302969958
ECOLI (2),KNN,ROC AUC,0.947597843843193,0.9417354613942773,0.94808831733876
ECOLI (2),KNN,F1,0.8015912403009177,0.737763440860215,0.8111336405529953
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,0.8830050912444903,0.9273551249081724,0.9379820186145745
ECOLI (2),DT,ROC AUC,0.826902064845252,0.8334561323234877,0.8337878140214411
ECOLI (2),DT,F1,0.6392282759685136,0.5825302952722308,0.6461381742196683
ECOLI (2),DT,GEOMETRIC MEAN SCORE,0.8237879084909415,0.7924628315793909,0.8151181853101239
ECOLI (2),GBC,ROC AUC,0.9233183923547142,0.9274298857702481,0.9241708960974846
ECOLI (2),GBC,F1,0.7162463343108504,0.6266367661434076,0.7162463343108504
ECOLI (2),GBC,GEOMETRIC MEAN SCORE,0.8252013261884458,0.792486814331074,0.8240162800427004
YEAST 3 (2),LR,ROC AUC,0.9630468758347298,0.9635237225771157,0.9646726883378605
YEAST 3 (2),LR,F1,0.0,0.5278656048170096,0.6019374856369777
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8936307513624295,0.8987458910704997
YEAST 3 (2),KNN,ROC AUC,0.9205141111690429,0.9339799240132947,0.9227152253536756
YEAST 3 (2),KNN,F1,0.6286868653851991,0.641945724230439,0.6745233632116197
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,0.7324536030591153,0.9219706626800486,0.8918841131015586
YEAST 3 (2),DT,ROC AUC,0.9288137967690139,0.9322357921431947,0.9402254229045038
YEAST 3 (2),DT,F1,0.6579742412378597,0.6833660900953392,0.7075683385122077
