Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,K-MEANS RANDOM OVERSAMPLING
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7543782479509339,0.7565391924973259,0.7743582419251402
GLASS,DT,ROC AUC,0.7863736793986185,0.7857662874170391,0.8153041615874306
GLASS,DT,F1,0.6763977616339214,0.7079473171793367,0.7286058458965126
GLASS,DT,GEOMETRIC MEAN SCORE,0.7554646870427859,0.7818763111797402,0.7984932141475208
GLASS,GBC,ROC AUC,0.8977697920899363,0.8984131619937695,0.9005866517675741
GLASS,GBC,F1,0.7516610618121853,0.7708551349688317,0.7669345618314874
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8105977900478428,0.8324907308646272,0.8247718332904014
ECOLI (2),LR,ROC AUC,0.9091659943728,0.9075061509871681,0.9100114490642071
ECOLI (2),LR,F1,0.0,0.5095029687213074,0.5728445747800586
ECOLI (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8620460456891894,0.8887127340600152
ECOLI (2),KNN,ROC AUC,0.947597843843193,0.9413804801984371,0.947597843843193
ECOLI (2),KNN,F1,0.8015912403009177,0.761368523949169,0.8111336405529953
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,0.8830050912444903,0.9309728445807529,0.9379820186145745
ECOLI (2),DT,ROC AUC,0.826902064845252,0.8230954918180833,0.8348061586131881
ECOLI (2),DT,F1,0.6392282759685136,0.5329807446507162,0.6461381742196683
ECOLI (2),DT,GEOMETRIC MEAN SCORE,0.8237879084909415,0.7596943366444237,0.8151181853101239
ECOLI (2),GBC,ROC AUC,0.9233183923547142,0.9200819847319053,0.9241708960974846
ECOLI (2),GBC,F1,0.7162463343108504,0.6098168498168497,0.7162463343108504
ECOLI (2),GBC,GEOMETRIC MEAN SCORE,0.8252013261884458,0.8088614382909368,0.8240162800427004
YEAST 3 (2),LR,ROC AUC,0.9630468758347298,0.9635517039493502,0.9649951219915045
YEAST 3 (2),LR,F1,0.0,0.5163262543239602,0.5970874781314648
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8939531081428975,0.8987458910704997
YEAST 3 (2),KNN,ROC AUC,0.9205141111690429,0.9166872387004342,0.9205141111690429
YEAST 3 (2),KNN,F1,0.6286868653851991,0.6586154987014822,0.6709337727005813
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,0.7324536030591153,0.8918841131015586,0.8918841131015586
YEAST 3 (2),DT,ROC AUC,0.9288137967690139,0.9322905703369837,0.9402254229045038
YEAST 3 (2),DT,F1,0.6579742412378597,0.6791219892790382,0.7075683385122077
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,0.8388117837981387,0.92165784618325,0.919962509063665
YEAST 3 (2),GBC,ROC AUC,0.9604120283252136,0.9610288940429556,0.967365064514545
YEAST 3 (2),GBC,F1,0.6793323909829206,0.687820782060172,0.7001709720640767
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,0.8082591919158332,0.8985979806994768,0.8987713104407111
YEAST 3,LR,ROC AUC,0.9641647128916093,0.9656137187375154,0.9660787277352063
YEAST 3,LR,F1,0.08064169400613325,0.6716141592387956,0.7071435567645712
YEAST 3,LR,GEOMETRIC MEAN SCORE,0.19957681863972115,0.8989002858990733,0.8975718307612965
YEAST 3,KNN,ROC AUC,0.9287741718021849,0.9214406349303588,0.9295114492746377
YEAST 3,KNN,F1,0.7106815098823978,0.6965179809017322,0.7414401060698403
YEAST 3,KNN,GEOMETRIC MEAN SCORE,0.8004795025617789,0.8895785239023856,0.8895785239023856
YEAST 3,DT,ROC AUC,0.9484849856588883,0.9391452801920409,0.9494441140691623
YEAST 3,DT,F1,0.7336229912602455,0.7437044271306629,0.7857445647973733
YEAST 3,DT,GEOMETRIC MEAN SCORE,0.8300614593025912,0.9129361973005305,0.9258581941474456
YEAST 3,GBC,ROC AUC,0.9599725202776801,0.9601495601609915,0.9644837137256275
YEAST 3,GBC,F1,0.727986692175687,0.7568945455574311,0.7807121408546387
YEAST 3,GBC,GEOMETRIC MEAN SCORE,0.8207164146073769,0.9010732061616442,0.9130730812586401
HABERMAN,LR,ROC AUC,0.6837037037037036,0.6892181069958849,0.7114403292181068
HABERMAN,LR,F1,0.2570974298452662,0.5016660402805426,0.5376746710080043
HABERMAN,LR,GEOMETRIC MEAN SCORE,0.3940221723084558,0.6408584513161067,0.6759732298995996
HABERMAN,KNN,ROC AUC,0.6296296296296295,0.6213991769547325,0.6467078189300411
HABERMAN,KNN,F1,0.3516042780748663,0.4355172757300867,0.4542814246416186
HABERMAN,KNN,GEOMETRIC MEAN SCORE,0.5068586188674743,0.5951136596627902,0.6103207501259756
HABERMAN,DT,ROC AUC,0.6186831275720164,0.6003703703703703,0.6574485596707819
HABERMAN,DT,F1,0.29062842158139857,0.4105967078189301,0.47028524470216937
