Classifier,Metric,Difference
LR,AUC,0.29 $\pm$ 0.19
LR,F-SCORE,12.46 $\pm$ 2.30
LR,G-MEAN,1.15 $\pm$ 0.52
KNN,AUC,1.23 $\pm$ 0.51
KNN,F-SCORE,8.83 $\pm$ 2.06
KNN,G-MEAN,31.54 $\pm$ 30.91
DT,AUC,2.68 $\pm$ 0.51
DT,F-SCORE,14.31 $\pm$ 2.76
DT,G-MEAN,0.16 $\pm$ 0.82
GBC,AUC,1.82 $\pm$ 0.30
GBC,F-SCORE,7.07 $\pm$ 1.18
GBC,G-MEAN,0.67 $\pm$ 0.80
