Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,BORDERLINE SMOTE,GSDOT
LR,ACCURACY,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,0.86 $\pm$ 0.04,0.85 $\pm$ 0.04,0.87 $\pm$ 0.04
LR,G-MEAN,0.81 $\pm$ 0.06,0.82 $\pm$ 0.06,0.82 $\pm$ 0.06,0.82 $\pm$ 0.05,0.83 $\pm$ 0.06
KNN,ACCURACY,0.81 $\pm$ 0.05,0.82 $\pm$ 0.05,0.82 $\pm$ 0.05,0.81 $\pm$ 0.05,0.83 $\pm$ 0.05
KNN,G-MEAN,0.69 $\pm$ 0.10,0.76 $\pm$ 0.07,0.78 $\pm$ 0.06,0.74 $\pm$ 0.09,0.78 $\pm$ 0.06
DT,ACCURACY,0.84 $\pm$ 0.05,0.83 $\pm$ 0.05,0.83 $\pm$ 0.06,0.83 $\pm$ 0.05,0.87 $\pm$ 0.04
DT,G-MEAN,0.81 $\pm$ 0.06,0.81 $\pm$ 0.06,0.80 $\pm$ 0.06,0.80 $\pm$ 0.06,0.84 $\pm$ 0.05
GBC,ACCURACY,0.84 $\pm$ 0.06,0.84 $\pm$ 0.06,0.84 $\pm$ 0.06,0.84 $\pm$ 0.05,0.88 $\pm$ 0.04
GBC,G-MEAN,0.82 $\pm$ 0.06,0.81 $\pm$ 0.06,0.81 $\pm$ 0.07,0.81 $\pm$ 0.06,0.86 $\pm$ 0.05
