Dataset,Classifier,Metric,NO OVERSAMPLING,BORDERLINE-SMOTE,K-MEANS BORDERLINE-SMOTE
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7543782479509339,0.7848650252996922,0.772936648236896
GLASS,DT,ROC AUC,0.7863736793986185,0.7904603480969796,0.7986156965325748
GLASS,DT,F1,0.6763977616339214,0.6917251013305219,0.7234527657216732
GLASS,DT,GEOMETRIC MEAN SCORE,0.7554646870427859,0.7715150106541186,0.7956927956619044
GLASS,GBC,ROC AUC,0.8977697920899363,0.9025717865366382,0.9099620750372477
GLASS,GBC,F1,0.7516610618121853,0.7429756793491201,0.7832810781621837
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8105977900478428,0.8095400031942979,0.8356571688846273
ECOLI (2),LR,ROC AUC,0.9091659943728,0.9079888579834394,0.9144179440250134
ECOLI (2),LR,F1,0.0,0.4890559156213805,0.5781078639565848
ECOLI (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8718174979174487,0.8647181718309582
ECOLI (2),KNN,ROC AUC,0.947597843843193,0.9431461847824778,0.9504651721674353
ECOLI (2),KNN,F1,0.8015912403009177,0.7905320485965648,0.8304279760986043
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,0.8830050912444903,0.9346631081779885,0.9309728445807529
ECOLI (2),DT,ROC AUC,0.826902064845252,0.8219790525272228,0.8337878140214411
ECOLI (2),DT,F1,0.6392282759685136,0.5938339920948617,0.6504659743199641
ECOLI (2),DT,GEOMETRIC MEAN SCORE,0.8237879084909415,0.807419685070533,0.8151181853101239
ECOLI (2),GBC,ROC AUC,0.9233183923547142,0.9285653825853813,0.9241708960974846
ECOLI (2),GBC,F1,0.7162463343108504,0.6451282348713514,0.7162463343108504
ECOLI (2),GBC,GEOMETRIC MEAN SCORE,0.8252013261884458,0.7963082491344008,0.8240162800427004
YEAST 3 (2),LR,ROC AUC,0.9630468758347298,0.9634677396153348,0.9641543611853882
YEAST 3 (2),LR,F1,0.0,0.5253612511867085,0.616560445967365
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.9108950831440823,0.8948703974610169
YEAST 3 (2),KNN,ROC AUC,0.9205141111690429,0.9342462947548793,0.9217829897885177
YEAST 3 (2),KNN,F1,0.6286868653851991,0.661248031344541,0.6598038674512969
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,0.7324536030591153,0.9008456293871747,0.8918841131015586
YEAST 3 (2),DT,ROC AUC,0.9288137967690139,0.9407723838970018,0.9402254229045038
YEAST 3 (2),DT,F1,0.6579742412378597,0.7236125841581184,0.7149345353991433
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,0.8388117837981387,0.9316641223063911,0.919962509063665
YEAST 3 (2),GBC,ROC AUC,0.9604120283252136,0.9557376473694998,0.9658723735138806
