Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
YEAST 3 (2),LR,ROC AUC,4.0,2.0,1.0,3.0
YEAST 3 (2),LR,F1,4.0,3.0,2.0,1.0
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 3 (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
YEAST 3 (2),KNN,F1,4.0,2.0,3.0,1.0
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 3 (2),DT,ROC AUC,1.0,3.0,4.0,2.0
YEAST 3 (2),DT,F1,3.0,2.0,4.0,1.0
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3 (2),GBC,ROC AUC,3.0,4.0,2.0,1.0
YEAST 3 (2),GBC,F1,4.0,2.0,3.0,1.0
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,4.0,1.0,3.0,2.0
YEAST 3,LR,ROC AUC,4.0,2.0,3.0,1.0
YEAST 3,LR,F1,4.0,3.0,2.0,1.0
YEAST 3,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 3,KNN,ROC AUC,2.0,4.0,3.0,1.0
YEAST 3,KNN,F1,2.0,4.0,3.0,1.0
YEAST 3,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 3,DT,ROC AUC,4.0,3.0,1.0,2.0
YEAST 3,DT,F1,2.0,4.0,3.0,1.0
YEAST 3,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3,GBC,ROC AUC,3.0,4.0,2.0,1.0
YEAST 3,GBC,F1,4.0,3.0,2.0,1.0
YEAST 3,GBC,GEOMETRIC MEAN SCORE,4.0,1.0,3.0,2.0
HABERMAN,LR,ROC AUC,4.0,3.0,2.0,1.0
HABERMAN,LR,F1,4.0,2.0,3.0,1.0
HABERMAN,LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HABERMAN,KNN,ROC AUC,4.0,3.0,2.0,1.0
HABERMAN,KNN,F1,4.0,3.0,1.0,2.0
HABERMAN,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HABERMAN,DT,ROC AUC,3.0,4.0,2.0,1.0
HABERMAN,DT,F1,4.0,2.0,3.0,1.0
HABERMAN,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HABERMAN,GBC,ROC AUC,3.0,4.0,2.0,1.0
HABERMAN,GBC,F1,4.0,3.0,2.0,1.0
HABERMAN,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),LR,ROC AUC,3.0,1.0,2.0,4.0
PAGE BLOCKS 0 (2),LR,F1,4.0,3.0,2.0,1.0
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (2),KNN,ROC AUC,3.0,4.0,1.0,2.0
PAGE BLOCKS 0 (2),KNN,F1,2.0,3.0,4.0,1.0
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (2),DT,ROC AUC,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (2),DT,F1,2.0,3.0,4.0,1.0
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PAGE BLOCKS 0 (2),GBC,ROC AUC,3.0,4.0,2.0,1.0
PAGE BLOCKS 0 (2),GBC,F1,3.0,4.0,2.0,1.0
PAGE BLOCKS 0 (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS,LR,ROC AUC,4.0,2.0,3.0,1.0
EUCALYPTUS,LR,F1,4.0,2.0,3.0,1.0
EUCALYPTUS,LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
EUCALYPTUS,KNN,ROC AUC,4.0,3.0,2.0,1.0
EUCALYPTUS,KNN,F1,4.0,1.0,2.0,3.0
EUCALYPTUS,KNN,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
EUCALYPTUS,DT,ROC AUC,4.0,1.0,2.0,3.0
EUCALYPTUS,DT,F1,4.0,3.0,2.0,1.0
EUCALYPTUS,DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
