Dataset,Classifier,Metric,NO OVERSAMPLING,RANDOM OVERSAMPLING,SMOTE,G-SOMO
IRIS (3),KNN,ROC AUC,2.5,2.5,2.5,2.5
IRIS (3),KNN,F1,2.5,2.5,2.5,2.5
IRIS (3),KNN,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS (3),DT,ROC AUC,2.5,2.5,2.5,2.5
IRIS (3),DT,F1,2.5,2.5,2.5,2.5
IRIS (3),DT,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
IRIS (3),GBC,ROC AUC,2.5,2.5,2.5,2.5
IRIS (3),GBC,F1,2.5,2.5,2.5,2.5
IRIS (3),GBC,GEOMETRIC MEAN SCORE,2.5,2.5,2.5,2.5
LED,LR,ROC AUC,2.0,4.0,3.0,1.0
LED,LR,F1,2.0,4.0,3.0,1.0
LED,LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LED,KNN,ROC AUC,3.0,4.0,2.0,1.0
LED,KNN,F1,4.0,3.0,1.0,2.0
LED,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
LED,DT,ROC AUC,4.0,3.0,2.0,1.0
LED,DT,F1,3.0,4.0,1.5,1.5
LED,DT,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
LED,GBC,ROC AUC,3.0,4.0,2.0,1.0
LED,GBC,F1,3.0,4.0,2.0,1.0
LED,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
ECOLI (3),LR,ROC AUC,2.0,4.0,3.0,1.0
ECOLI (3),LR,F1,4.0,3.0,2.0,1.0
ECOLI (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
ECOLI (3),KNN,ROC AUC,2.0,4.0,3.0,1.0
ECOLI (3),KNN,F1,2.0,4.0,3.0,1.0
ECOLI (3),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
ECOLI (3),DT,ROC AUC,4.0,2.0,3.0,1.0
ECOLI (3),DT,F1,4.0,3.0,2.0,1.0
ECOLI (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
ECOLI (3),GBC,ROC AUC,4.0,3.0,2.0,1.0
ECOLI (3),GBC,F1,1.0,3.0,4.0,2.0
ECOLI (3),GBC,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
GLASS (3),LR,ROC AUC,3.0,4.0,2.0,1.0
GLASS (3),LR,F1,4.0,3.0,2.0,1.0
GLASS (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
GLASS (3),KNN,ROC AUC,4.0,3.0,1.0,2.0
GLASS (3),KNN,F1,4.0,2.0,3.0,1.0
GLASS (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
GLASS (3),DT,ROC AUC,4.0,3.0,1.0,2.0
GLASS (3),DT,F1,4.0,3.0,2.0,1.0
GLASS (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
GLASS (3),GBC,ROC AUC,4.0,3.0,2.0,1.0
GLASS (3),GBC,F1,4.0,3.0,1.0,2.0
GLASS (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HABERMAN (3),LR,ROC AUC,2.0,4.0,3.0,1.0
HABERMAN (3),LR,F1,4.0,2.0,3.0,1.0
HABERMAN (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
HABERMAN (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
HABERMAN (3),KNN,F1,4.0,3.0,2.0,1.0
HABERMAN (3),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HABERMAN (3),DT,ROC AUC,4.0,3.0,1.0,2.0
HABERMAN (3),DT,F1,4.0,3.0,2.0,1.0
HABERMAN (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HABERMAN (3),GBC,ROC AUC,3.0,4.0,1.0,2.0
HABERMAN (3),GBC,F1,4.0,3.0,1.0,2.0
HABERMAN (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
MANDELON 2 (3),LR,ROC AUC,2.0,4.0,3.0,1.0
MANDELON 2 (3),LR,F1,2.0,3.0,4.0,1.0
MANDELON 2 (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 2 (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
MANDELON 2 (3),KNN,F1,3.5,3.5,2.0,1.0
MANDELON 2 (3),KNN,GEOMETRIC MEAN SCORE,3.5,3.5,2.0,1.0
MANDELON 2 (3),DT,ROC AUC,4.0,3.0,1.0,2.0
MANDELON 2 (3),DT,F1,1.0,3.0,4.0,2.0
MANDELON 2 (3),DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 2 (3),GBC,ROC AUC,4.0,2.0,1.0,3.0
MANDELON 2 (3),GBC,F1,4.0,3.0,1.0,2.0
MANDELON 2 (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
NEW THYROID 2 (2),LR,ROC AUC,4.0,1.5,3.0,1.5
NEW THYROID 2 (2),LR,F1,2.0,3.0,4.0,1.0
NEW THYROID 2 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
NEW THYROID 2 (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
NEW THYROID 2 (2),KNN,F1,4.0,3.0,1.0,2.0
NEW THYROID 2 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
NEW THYROID 2 (2),DT,ROC AUC,3.5,3.5,2.0,1.0
NEW THYROID 2 (2),DT,F1,3.5,3.5,2.0,1.0
NEW THYROID 2 (2),DT,GEOMETRIC MEAN SCORE,3.5,3.5,2.0,1.0
NEW THYROID 2 (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 2 (2),GBC,F1,3.0,3.0,3.0,1.0
NEW THYROID 2 (2),GBC,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
VEHICLE (2),LR,ROC AUC,2.0,3.0,4.0,1.0
VEHICLE (2),LR,F1,2.5,4.0,2.5,1.0
VEHICLE (2),LR,GEOMETRIC MEAN SCORE,2.5,4.0,2.5,1.0
VEHICLE (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
VEHICLE (2),KNN,F1,2.0,4.0,3.0,1.0
VEHICLE (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
VEHICLE (2),DT,ROC AUC,2.0,1.0,4.0,3.0
VEHICLE (2),DT,F1,2.0,3.0,4.0,1.0
VEHICLE (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
VEHICLE (2),GBC,ROC AUC,3.0,2.0,4.0,1.0
VEHICLE (2),GBC,F1,2.0,4.0,3.0,1.0
VEHICLE (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIBRAS,LR,ROC AUC,2.0,4.0,3.0,1.0
LIBRAS,LR,F1,4.0,3.0,2.0,1.0
LIBRAS,LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
LIBRAS,KNN,ROC AUC,4.0,3.0,1.0,2.0
LIBRAS,KNN,F1,4.0,2.0,3.0,1.0
LIBRAS,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
LIBRAS,DT,ROC AUC,4.0,2.0,3.0,1.0
LIBRAS,DT,F1,4.0,2.0,3.0,1.0
LIBRAS,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIBRAS,GBC,ROC AUC,2.0,3.0,4.0,1.0
LIBRAS,GBC,F1,4.0,3.0,2.0,1.0
LIBRAS,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VEHICLE,LR,ROC AUC,2.0,4.0,3.0,1.0
VEHICLE,LR,F1,3.0,4.0,2.0,1.0
VEHICLE,LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
VEHICLE,KNN,ROC AUC,3.0,4.0,2.0,1.0
VEHICLE,KNN,F1,4.0,3.0,2.0,1.0
VEHICLE,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
VEHICLE,DT,ROC AUC,3.0,2.0,4.0,1.0
VEHICLE,DT,F1,4.0,3.0,2.0,1.0
VEHICLE,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VEHICLE,GBC,ROC AUC,4.0,3.0,2.0,1.0
VEHICLE,GBC,F1,4.0,2.0,3.0,1.0
VEHICLE,GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 5,LR,ROC AUC,2.0,3.0,4.0,1.0
YEAST 5,LR,F1,4.0,3.0,2.0,1.0
YEAST 5,LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 5,KNN,ROC AUC,2.0,3.0,4.0,1.0
YEAST 5,KNN,F1,4.0,2.0,3.0,1.0
YEAST 5,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 5,DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 5,DT,F1,2.0,4.0,3.0,1.0
YEAST 5,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 5,GBC,ROC AUC,3.0,4.0,2.0,1.0
YEAST 5,GBC,F1,4.0,3.0,2.0,1.0
YEAST 5,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HABERMAN (2),LR,ROC AUC,4.0,2.0,3.0,1.0
HABERMAN (2),LR,F1,4.0,2.0,1.0,3.0
HABERMAN (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
HABERMAN (2),KNN,ROC AUC,3.0,4.0,2.0,1.0
HABERMAN (2),KNN,F1,2.0,4.0,3.0,1.0
HABERMAN (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HABERMAN (2),DT,ROC AUC,4.0,3.0,1.0,2.0
HABERMAN (2),DT,F1,4.0,3.0,2.0,1.0
HABERMAN (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HABERMAN (2),GBC,ROC AUC,3.0,4.0,2.0,1.0
HABERMAN (2),GBC,F1,4.0,2.0,3.0,1.0
HABERMAN (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
VOWEL,LR,ROC AUC,4.0,2.0,1.0,3.0
VOWEL,LR,F1,1.0,4.0,3.0,2.0
VOWEL,LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
VOWEL,KNN,ROC AUC,4.0,1.5,1.5,3.0
VOWEL,KNN,F1,2.0,3.5,3.5,1.0
VOWEL,KNN,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
VOWEL,DT,ROC AUC,3.0,4.0,1.0,2.0
VOWEL,DT,F1,3.0,4.0,2.0,1.0
VOWEL,DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
VOWEL,GBC,ROC AUC,4.0,3.0,2.0,1.0
VOWEL,GBC,F1,4.0,3.0,2.0,1.0
VOWEL,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
EUCALYPTUS (2),LR,ROC AUC,4.0,1.0,2.0,3.0
EUCALYPTUS (2),LR,F1,4.0,2.0,3.0,1.0
EUCALYPTUS (2),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
EUCALYPTUS (2),KNN,ROC AUC,3.0,4.0,1.0,2.0
EUCALYPTUS (2),KNN,F1,4.0,2.0,3.0,1.0
EUCALYPTUS (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (2),DT,ROC AUC,4.0,3.0,2.0,1.0
EUCALYPTUS (2),DT,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (2),GBC,ROC AUC,2.0,3.0,4.0,1.0
EUCALYPTUS (2),GBC,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 6,LR,ROC AUC,4.0,1.0,3.0,2.0
YEAST 6,LR,F1,4.0,3.0,2.0,1.0
YEAST 6,LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 6,KNN,ROC AUC,2.0,3.0,4.0,1.0
YEAST 6,KNN,F1,2.0,3.0,4.0,1.0
YEAST 6,KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 6,DT,ROC AUC,4.0,2.0,3.0,1.0
YEAST 6,DT,F1,3.0,2.0,4.0,1.0
YEAST 6,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 6,GBC,ROC AUC,4.0,2.0,3.0,1.0
YEAST 6,GBC,F1,4.0,2.0,3.0,1.0
YEAST 6,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
BREAST TISSUE,LR,ROC AUC,3.0,4.0,2.0,1.0
BREAST TISSUE,LR,F1,4.0,3.0,1.0,2.0
BREAST TISSUE,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
BREAST TISSUE,KNN,ROC AUC,3.0,4.0,2.0,1.0
BREAST TISSUE,KNN,F1,3.0,4.0,2.0,1.0
BREAST TISSUE,KNN,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
BREAST TISSUE,DT,ROC AUC,4.0,3.0,2.0,1.0
BREAST TISSUE,DT,F1,4.0,2.0,3.0,1.0
BREAST TISSUE,DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
BREAST TISSUE,GBC,ROC AUC,2.0,3.0,4.0,1.0
BREAST TISSUE,GBC,F1,3.0,4.0,1.0,2.0
BREAST TISSUE,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,1.0,2.0
EUCALYPTUS (3),LR,ROC AUC,4.0,1.0,2.0,3.0
EUCALYPTUS (3),LR,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (3),KNN,ROC AUC,4.0,3.0,2.0,1.0
EUCALYPTUS (3),KNN,F1,4.0,1.0,3.0,2.0
EUCALYPTUS (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
EUCALYPTUS (3),DT,ROC AUC,3.0,4.0,1.0,2.0
EUCALYPTUS (3),DT,F1,4.0,2.0,3.0,1.0
EUCALYPTUS (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
EUCALYPTUS (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
EUCALYPTUS (3),GBC,F1,4.0,3.0,2.0,1.0
EUCALYPTUS (3),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
MANDELON 2,LR,ROC AUC,2.0,4.0,3.0,1.0
MANDELON 2,LR,F1,4.0,3.0,2.0,1.0
MANDELON 2,LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 2,KNN,ROC AUC,3.0,2.0,4.0,1.0
MANDELON 2,KNN,F1,4.0,2.0,3.0,1.0
MANDELON 2,KNN,GEOMETRIC MEAN SCORE,3.0,2.0,4.0,1.0
MANDELON 2,DT,ROC AUC,4.0,3.0,1.0,2.0
MANDELON 2,DT,F1,4.0,3.0,1.0,2.0
MANDELON 2,DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
MANDELON 2,GBC,ROC AUC,4.0,3.0,2.0,1.0
MANDELON 2,GBC,F1,4.0,2.0,1.0,3.0
MANDELON 2,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
WINE (2),LR,ROC AUC,3.0,4.0,2.0,1.0
WINE (2),LR,F1,2.0,4.0,3.0,1.0
WINE (2),LR,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
WINE (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
WINE (2),KNN,F1,2.0,4.0,3.0,1.0
WINE (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE (2),DT,ROC AUC,4.0,2.0,3.0,1.0
WINE (2),DT,F1,4.0,2.0,3.0,1.0
WINE (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
WINE (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
WINE (2),GBC,F1,4.0,2.0,3.0,1.0
WINE (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 4 (2),LR,ROC AUC,2.0,4.0,3.0,1.0
YEAST 4 (2),LR,F1,4.0,3.0,2.0,1.0
YEAST 4 (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 4 (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
YEAST 4 (2),KNN,F1,4.0,3.0,2.0,1.0
YEAST 4 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4 (2),DT,ROC AUC,3.0,4.0,2.0,1.0
YEAST 4 (2),DT,F1,4.0,2.0,3.0,1.0
YEAST 4 (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 4 (2),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 4 (2),GBC,F1,3.0,4.0,2.0,1.0
YEAST 4 (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
HEART (2),LR,ROC AUC,2.0,4.0,3.0,1.0
HEART (2),LR,F1,4.0,3.0,2.0,1.0
HEART (2),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART (2),KNN,ROC AUC,2.0,4.0,3.0,1.0
HEART (2),KNN,F1,4.0,2.0,3.0,1.0
HEART (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
HEART (2),DT,ROC AUC,3.0,1.0,4.0,2.0
HEART (2),DT,F1,3.0,4.0,2.0,1.0
HEART (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
HEART (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
HEART (2),GBC,F1,4.0,3.0,2.0,1.0
HEART (2),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
WINE (3),LR,ROC AUC,4.0,3.0,2.0,1.0
WINE (3),LR,F1,4.0,2.5,2.5,1.0
WINE (3),LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
WINE (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
WINE (3),KNN,F1,2.0,4.0,3.0,1.0
WINE (3),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE (3),DT,ROC AUC,4.0,2.0,3.0,1.0
WINE (3),DT,F1,2.0,3.0,4.0,1.0
WINE (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
WINE (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
WINE (3),GBC,F1,2.0,4.0,3.0,1.0
WINE (3),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
LIVER (3),LR,ROC AUC,4.0,3.0,2.0,1.0
LIVER (3),LR,F1,4.0,3.0,2.0,1.0
LIVER (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
LIVER (3),KNN,F1,4.0,3.0,2.0,1.0
LIVER (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
LIVER (3),DT,ROC AUC,2.0,4.0,3.0,1.0
LIVER (3),DT,F1,4.0,3.0,2.0,1.0
LIVER (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
LIVER (3),GBC,F1,3.0,4.0,2.0,1.0
LIVER (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER,LR,ROC AUC,3.0,4.0,2.0,1.0
LIVER,LR,F1,4.0,3.0,2.0,1.0
LIVER,LR,GEOMETRIC MEAN SCORE,2.0,4.0,3.0,1.0
LIVER,KNN,ROC AUC,4.0,2.0,3.0,1.0
LIVER,KNN,F1,4.0,3.0,2.0,1.0
LIVER,KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
LIVER,DT,ROC AUC,4.0,3.0,2.0,1.0
LIVER,DT,F1,4.0,3.0,2.0,1.0
LIVER,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
LIVER,GBC,ROC AUC,3.0,4.0,2.0,1.0
LIVER,GBC,F1,4.0,3.0,2.0,1.0
LIVER,GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
VOWEL (3),LR,ROC AUC,4.0,1.0,2.0,3.0
VOWEL (3),LR,F1,2.0,4.0,3.0,1.0
VOWEL (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
VOWEL (3),KNN,ROC AUC,4.0,3.0,1.0,2.0
VOWEL (3),KNN,F1,4.0,2.0,1.0,3.0
VOWEL (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
VOWEL (3),DT,ROC AUC,4.0,2.0,3.0,1.0
VOWEL (3),DT,F1,2.0,3.0,4.0,1.0
VOWEL (3),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
VOWEL (3),GBC,ROC AUC,4.0,2.0,3.0,1.0
VOWEL (3),GBC,F1,2.0,3.0,4.0,1.0
VOWEL (3),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
DERMATOLOGY,LR,ROC AUC,2.5,2.5,2.5,2.5
DERMATOLOGY,LR,F1,4.0,2.5,2.5,1.0
DERMATOLOGY,LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
DERMATOLOGY,KNN,ROC AUC,2.5,2.5,4.0,1.0
DERMATOLOGY,KNN,F1,1.5,3.5,3.5,1.5
DERMATOLOGY,KNN,GEOMETRIC MEAN SCORE,2.0,3.5,3.5,1.0
DERMATOLOGY,DT,ROC AUC,3.0,3.0,3.0,1.0
DERMATOLOGY,DT,F1,3.0,3.0,3.0,1.0
DERMATOLOGY,DT,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,ROC AUC,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,F1,3.0,3.0,3.0,1.0
DERMATOLOGY,GBC,GEOMETRIC MEAN SCORE,3.0,3.0,3.0,1.0
WINE,LR,ROC AUC,3.0,4.0,2.0,1.0
WINE,LR,F1,3.0,4.0,2.0,1.0
WINE,LR,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
WINE,KNN,ROC AUC,2.0,4.0,3.0,1.0
WINE,KNN,F1,2.0,3.0,4.0,1.0
WINE,KNN,GEOMETRIC MEAN SCORE,2.0,3.0,4.0,1.0
WINE,DT,ROC AUC,3.0,4.0,2.0,1.0
WINE,DT,F1,3.0,2.0,4.0,1.0
WINE,DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
WINE,GBC,ROC AUC,2.0,3.0,4.0,1.0
WINE,GBC,F1,4.0,3.0,2.0,1.0
WINE,GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
MANDELON 1 (2),LR,ROC AUC,1.5,3.0,4.0,1.5
MANDELON 1 (2),LR,F1,4.0,3.0,2.0,1.0
MANDELON 1 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (2),KNN,ROC AUC,3.0,4.0,1.0,2.0
MANDELON 1 (2),KNN,F1,4.0,3.0,1.0,2.0
MANDELON 1 (2),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
MANDELON 1 (2),DT,ROC AUC,2.0,3.0,4.0,1.0
MANDELON 1 (2),DT,F1,2.0,4.0,3.0,1.0
MANDELON 1 (2),DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
MANDELON 1 (2),GBC,ROC AUC,2.0,3.0,4.0,1.0
MANDELON 1 (2),GBC,F1,2.0,3.0,4.0,1.0
MANDELON 1 (2),GBC,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
YEAST 5 (2),LR,ROC AUC,4.0,2.0,3.0,1.0
YEAST 5 (2),LR,F1,4.0,2.0,3.0,1.0
YEAST 5 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 5 (2),KNN,ROC AUC,4.0,3.0,1.0,2.0
YEAST 5 (2),KNN,F1,4.0,3.0,1.0,2.0
YEAST 5 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
YEAST 5 (2),DT,ROC AUC,4.0,3.0,2.0,1.0
YEAST 5 (2),DT,F1,3.0,4.0,2.0,1.0
YEAST 5 (2),DT,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,ROC AUC,3.0,2.0,4.0,1.0
YEAST 5 (2),GBC,F1,4.0,3.0,2.0,1.0
YEAST 5 (2),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),LR,ROC AUC,2.5,2.5,2.5,2.5
NEW THYROID 1 (2),LR,F1,1.5,3.5,3.5,1.5
NEW THYROID 1 (2),LR,GEOMETRIC MEAN SCORE,4.0,2.5,2.5,1.0
NEW THYROID 1 (2),KNN,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),KNN,F1,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),KNN,GEOMETRIC MEAN SCORE,4.0,3.0,1.0,2.0
NEW THYROID 1 (2),DT,ROC AUC,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),DT,F1,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
NEW THYROID 1 (2),GBC,ROC AUC,4.0,3.0,2.0,1.0
NEW THYROID 1 (2),GBC,F1,3.0,4.0,2.0,1.0
NEW THYROID 1 (2),GBC,GEOMETRIC MEAN SCORE,3.0,4.0,2.0,1.0
YEAST 3 (3),LR,ROC AUC,4.0,3.0,2.0,1.0
YEAST 3 (3),LR,F1,4.0,3.0,2.0,1.0
YEAST 3 (3),LR,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
YEAST 3 (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
YEAST 3 (3),KNN,F1,4.0,2.0,3.0,1.0
YEAST 3 (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3 (3),DT,ROC AUC,4.0,2.0,3.0,1.0
YEAST 3 (3),DT,F1,2.0,3.0,4.0,1.0
YEAST 3 (3),DT,GEOMETRIC MEAN SCORE,4.0,2.0,3.0,1.0
YEAST 3 (3),GBC,ROC AUC,2.0,4.0,3.0,1.0
YEAST 3 (3),GBC,F1,4.0,3.0,2.0,1.0
YEAST 3 (3),GBC,GEOMETRIC MEAN SCORE,4.0,3.0,2.0,1.0
PIMA (3),LR,ROC AUC,4.0,1.0,2.0,3.0
PIMA (3),LR,F1,4.0,2.0,1.0,3.0
PIMA (3),LR,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PIMA (3),KNN,ROC AUC,3.0,4.0,2.0,1.0
PIMA (3),KNN,F1,4.0,3.0,2.0,1.0
PIMA (3),KNN,GEOMETRIC MEAN SCORE,4.0,2.0,1.0,3.0
PIMA (3),DT,ROC AUC,4.0,2.0,3.0,1.0
PIMA (3),DT,F1,4.0,3.0,2.0,1.0
PIMA (3),DT,GEOMETRIC MEAN SCORE,4.0,1.0,2.0,3.0
PIMA (3),GBC,ROC AUC,3.0,4.0,2.0,1.0
