Dataset,Oversampler,Classifier,Metric,Score
SEGMENTATION (3),RANDOM OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9940779674270889
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_roc_auc,0.9894555963096632
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_f1,0.9144144350188805
SEGMENTATION (3),RANDOM OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9819644252059151
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_roc_auc,0.9784547825337299
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_f1,0.9306074406683963
SEGMENTATION (3),RANDOM OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9785068947893568
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_roc_auc,0.9906941489118524
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_f1,0.9455841176978239
SEGMENTATION (3),RANDOM OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.983829188330261
SEGMENTATION (3),SMOTE,LR,mean_test_roc_auc,0.9995220209335042
SEGMENTATION (3),SMOTE,LR,mean_test_f1,0.9802122969491389
SEGMENTATION (3),SMOTE,LR,mean_test_geometric_mean_score,0.9945807372203834
SEGMENTATION (3),SMOTE,KNN,mean_test_roc_auc,0.99116048301455
SEGMENTATION (3),SMOTE,KNN,mean_test_f1,0.90481694999307
SEGMENTATION (3),SMOTE,KNN,mean_test_geometric_mean_score,0.9813368280866728
SEGMENTATION (3),SMOTE,DT,mean_test_roc_auc,0.9785043830259141
SEGMENTATION (3),SMOTE,DT,mean_test_f1,0.9375897077404254
SEGMENTATION (3),SMOTE,DT,mean_test_geometric_mean_score,0.9787600207456892
SEGMENTATION (3),SMOTE,GBC,mean_test_roc_auc,0.9989806150212849
SEGMENTATION (3),SMOTE,GBC,mean_test_f1,0.9443287988871103
SEGMENTATION (3),SMOTE,GBC,mean_test_geometric_mean_score,0.9837062802814293
SEGMENTATION (3),G-SOMO,LR,mean_test_roc_auc,0.9997814952838877
SEGMENTATION (3),G-SOMO,LR,mean_test_f1,0.986598617000279
SEGMENTATION (3),G-SOMO,LR,mean_test_geometric_mean_score,0.994960426374454
SEGMENTATION (3),G-SOMO,KNN,mean_test_roc_auc,0.9951332770351908
SEGMENTATION (3),G-SOMO,KNN,mean_test_f1,0.9175022962240607
SEGMENTATION (3),G-SOMO,KNN,mean_test_geometric_mean_score,0.9812632654419613
SEGMENTATION (3),G-SOMO,DT,mean_test_roc_auc,0.9910517890661432
SEGMENTATION (3),G-SOMO,DT,mean_test_f1,0.957332607139417
SEGMENTATION (3),G-SOMO,DT,mean_test_geometric_mean_score,0.9861514717245454
