Dataset,Classifier,Metric,NO OVERSAMPLING,G-SMOTE,K-MEANS G-SMOTE
GLASS,KNN,GEOMETRIC MEAN SCORE,0.7543782479509339,0.7696254508914373,0.7860693778400831
GLASS,DT,ROC AUC,0.7863736793986185,0.8268583655018285,0.8219812406880671
GLASS,DT,F1,0.6763977616339214,0.731941247036023,0.7339443083045285
GLASS,DT,GEOMETRIC MEAN SCORE,0.7554646870427859,0.8024118964308669,0.8037490080473891
GLASS,GBC,ROC AUC,0.8977697920899363,0.9038923879181904,0.9068573919815792
GLASS,GBC,F1,0.7516610618121853,0.7693601254044165,0.7680516613379674
GLASS,GBC,GEOMETRIC MEAN SCORE,0.8105977900478428,0.8291034270261777,0.826534260718957
ECOLI (2),LR,ROC AUC,0.9091659943728,0.907242215439078,0.910532271109024
ECOLI (2),LR,F1,0.0,0.5120095488767827,0.5728445747800586
ECOLI (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8630170392522385,0.8887127340600152
ECOLI (2),KNN,ROC AUC,0.947597843843193,0.9425505675364343,0.948012804689601
ECOLI (2),KNN,F1,0.8015912403009177,0.7760674486803518,0.8230737004930554
ECOLI (2),KNN,GEOMETRIC MEAN SCORE,0.8830050912444903,0.9348138415447373,0.9379820186145745
ECOLI (2),DT,ROC AUC,0.826902064845252,0.8739902647834411,0.9001483311057328
ECOLI (2),DT,F1,0.6392282759685136,0.751055056997332,0.7544868035190615
ECOLI (2),DT,GEOMETRIC MEAN SCORE,0.8237879084909415,0.8683022549346608,0.8946221850009306
ECOLI (2),GBC,ROC AUC,0.9233183923547142,0.9351292434787495,0.9438208392033618
ECOLI (2),GBC,F1,0.7162463343108504,0.7475756840782307,0.7568021226085742
ECOLI (2),GBC,GEOMETRIC MEAN SCORE,0.8252013261884458,0.8626159241126204,0.8829846626018939
YEAST 3 (2),LR,ROC AUC,0.9630468758347298,0.9643227327963418,0.9654437116710399
YEAST 3 (2),LR,F1,0.0,0.5299819871193918,0.6006066243103665
YEAST 3 (2),LR,GEOMETRIC MEAN SCORE,0.0,0.8978189438540094,0.8991097093387675
YEAST 3 (2),KNN,ROC AUC,0.9205141111690429,0.9518744551128135,0.9552321704629633
YEAST 3 (2),KNN,F1,0.6286868653851991,0.6525821596244132,0.6727004408698627
YEAST 3 (2),KNN,GEOMETRIC MEAN SCORE,0.7324536030591153,0.9271665652117487,0.8918841131015586
YEAST 3 (2),DT,ROC AUC,0.9288137967690139,0.9430993866876278,0.9514191048867277
YEAST 3 (2),DT,F1,0.6579742412378597,0.684334701854066,0.7122144089159663
YEAST 3 (2),DT,GEOMETRIC MEAN SCORE,0.8388117837981387,0.9311078439036549,0.92751519957237
YEAST 3 (2),GBC,ROC AUC,0.9604120283252136,0.9675472365850906,0.9685497260836062
YEAST 3 (2),GBC,F1,0.6793323909829206,0.7090278790397644,0.722165441852273
YEAST 3 (2),GBC,GEOMETRIC MEAN SCORE,0.8082591919158332,0.9129596770569202,0.9164071444807009
YEAST 3,LR,ROC AUC,0.9641647128916093,0.9663922103527898,0.9661206433756491
YEAST 3,LR,F1,0.08064169400613325,0.675002711749497,0.7107601062556328
YEAST 3,LR,GEOMETRIC MEAN SCORE,0.19957681863972115,0.9016420279222721,0.8985571967887664
YEAST 3,KNN,ROC AUC,0.9287741718021849,0.9433234173866394,0.9413093303188845
YEAST 3,KNN,F1,0.7106815098823978,0.7143346763738057,0.7438057474050435
YEAST 3,KNN,GEOMETRIC MEAN SCORE,0.8004795025617789,0.9004086269948215,0.8916674629403397
YEAST 3,DT,ROC AUC,0.9484849856588883,0.9497763539343969,0.95301067643494
YEAST 3,DT,F1,0.7336229912602455,0.7702631450254751,0.7918639361261626
YEAST 3,DT,GEOMETRIC MEAN SCORE,0.8300614593025912,0.9255714057820457,0.9299467702229527
YEAST 3,GBC,ROC AUC,0.9599725202776801,0.9699123864777743,0.9681927614289475
YEAST 3,GBC,F1,0.727986692175687,0.7841418796566455,0.7967794197823475
YEAST 3,GBC,GEOMETRIC MEAN SCORE,0.8207164146073769,0.9175180062586269,0.9193203457205299
HABERMAN,LR,ROC AUC,0.6837037037037036,0.6890534979423868,0.7126748971193415
HABERMAN,LR,F1,0.2570974298452662,0.4907538114059853,0.5376746710080043
HABERMAN,LR,GEOMETRIC MEAN SCORE,0.3940221723084558,0.6314295565477235,0.6759732298995996
HABERMAN,KNN,ROC AUC,0.6296296296296295,0.6350205761316872,0.6486008230452676
HABERMAN,KNN,F1,0.3516042780748663,0.4498682039150652,0.452940281487428
HABERMAN,KNN,GEOMETRIC MEAN SCORE,0.5068586188674743,0.6079627651054438,0.6095084684770669
HABERMAN,DT,ROC AUC,0.6186831275720164,0.6694650205761317,0.6574485596707819
HABERMAN,DT,F1,0.29062842158139857,0.4961938222807788,0.47961321678125873
HABERMAN,DT,GEOMETRIC MEAN SCORE,0.45897575018906,0.6456888309506876,0.6236200721132594
HABERMAN,GBC,ROC AUC,0.6074897119341564,0.6622222222222223,0.6492181069958847
HABERMAN,GBC,F1,0.32032677884918387,0.41963567330292506,0.3937760460154427
HABERMAN,GBC,GEOMETRIC MEAN SCORE,0.47338574982847986,0.577786109629262,0.5512567584680894
PAGE BLOCKS 0 (2),LR,ROC AUC,0.9250823933947895,0.9534336908737568,0.9526644066205017
PAGE BLOCKS 0 (2),LR,F1,0.4128494041929915,0.5680963255111127,0.67081651763204
PAGE BLOCKS 0 (2),LR,GEOMETRIC MEAN SCORE,0.5430465994218615,0.8990198171650114,0.8972094202336266
PAGE BLOCKS 0 (2),KNN,ROC AUC,0.9040628360530651,0.9267446669401194,0.9089784105525988
PAGE BLOCKS 0 (2),KNN,F1,0.6858912048394736,0.6833568395639601,0.7265114741518204
PAGE BLOCKS 0 (2),KNN,GEOMETRIC MEAN SCORE,0.7606710745114973,0.879424078525207,0.8543279839341064
PAGE BLOCKS 0 (2),DT,ROC AUC,0.8962730666947736,0.9445642558497156,0.9460093752197738
PAGE BLOCKS 0 (2),DT,F1,0.7649290289721109,0.7129314933216184,0.7810915906676341
PAGE BLOCKS 0 (2),DT,GEOMETRIC MEAN SCORE,0.8525516528644872,0.9231261853457351,0.910884072954578
PAGE BLOCKS 0 (2),GBC,ROC AUC,0.9850477912787494,0.9868785941977982,0.9866383976353592
