Dataset,Oversampler,Classifier,Metric,Score
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.9999590303657289
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_f1,0.9864750225519996
SEGMENTATION (3),K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.9983557136936299
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_roc_auc,0.9996923783287419
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.9934027396648947
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_roc_auc,0.9964600550964187
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_f1,0.9441647437242149
SEGMENTATION,NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.9802234804888963
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_roc_auc,0.9867320936639119
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_f1,0.9757263386823821
SEGMENTATION,NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.9864043693904601
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_roc_auc,0.9994582185491276
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_f1,0.9809455908597666
SEGMENTATION,NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.9872996179866429
SEGMENTATION,G-SMOTE,LR,mean_test_roc_auc,0.9998645546372819
SEGMENTATION,G-SMOTE,LR,mean_test_f1,0.987171921372967
SEGMENTATION,G-SMOTE,LR,mean_test_geometric_mean_score,0.9949391602200011
SEGMENTATION,G-SMOTE,KNN,mean_test_roc_auc,0.9969478879706153
SEGMENTATION,G-SMOTE,KNN,mean_test_f1,0.9418780499588499
SEGMENTATION,G-SMOTE,KNN,mean_test_geometric_mean_score,0.9872200346986004
SEGMENTATION,G-SMOTE,DT,mean_test_roc_auc,0.9930567033976125
SEGMENTATION,G-SMOTE,DT,mean_test_f1,0.9702157788294494
SEGMENTATION,G-SMOTE,DT,mean_test_geometric_mean_score,0.9891326275273331
SEGMENTATION,G-SMOTE,GBC,mean_test_roc_auc,0.999878328741965
SEGMENTATION,G-SMOTE,GBC,mean_test_f1,0.9924447474810086
SEGMENTATION,G-SMOTE,GBC,mean_test_geometric_mean_score,0.9962070264263133
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.999864554637282
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_f1,0.9908534264077664
SEGMENTATION,K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.995191106133118
SEGMENTATION,K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.9972623966942149
SEGMENTATION,K-MEANS G-SMOTE,KNN,mean_test_f1,0.9459247648902821
SEGMENTATION,K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.9879852820497452
SEGMENTATION,K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.9920087235996328
SEGMENTATION,K-MEANS G-SMOTE,DT,mean_test_f1,0.9757613069096406
SEGMENTATION,K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.9896203707896569
SEGMENTATION,K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.9999357208448117
SEGMENTATION,K-MEANS G-SMOTE,GBC,mean_test_f1,0.9931920394047711
SEGMENTATION,K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.9974717690239869
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8763980439716197
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_f1,0.0
YEAST 4 (3),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.0
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.7714947150513582
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_f1,0.06648275862068967
YEAST 4 (3),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.14803534313232042
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_f1,0.22763175521796208
YEAST 4 (3),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.3831968901941373
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8789020978576789
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_f1,0.3250368405540819
YEAST 4 (3),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.44519149099874955
YEAST 4 (3),G-SMOTE,LR,mean_test_roc_auc,0.8891715039561875
YEAST 4 (3),G-SMOTE,LR,mean_test_f1,0.14374099994551837
YEAST 4 (3),G-SMOTE,LR,mean_test_geometric_mean_score,0.842201239657698
YEAST 4 (3),G-SMOTE,KNN,mean_test_roc_auc,0.8035936410626823
YEAST 4 (3),G-SMOTE,KNN,mean_test_f1,0.24469124058660324
YEAST 4 (3),G-SMOTE,KNN,mean_test_geometric_mean_score,0.7513073524713527
YEAST 4 (3),G-SMOTE,DT,mean_test_roc_auc,0.8800702340863988
YEAST 4 (3),G-SMOTE,DT,mean_test_f1,0.40205747126436786
YEAST 4 (3),G-SMOTE,DT,mean_test_geometric_mean_score,0.7979220585246043
YEAST 4 (3),G-SMOTE,GBC,mean_test_roc_auc,0.9029026816293704
YEAST 4 (3),G-SMOTE,GBC,mean_test_f1,0.5113073975832596
YEAST 4 (3),G-SMOTE,GBC,mean_test_geometric_mean_score,0.6813965262791183
YEAST 4 (3),K-MEANS G-SMOTE,LR,mean_test_roc_auc,0.8899761331144642
YEAST 4 (3),K-MEANS G-SMOTE,LR,mean_test_f1,0.1400985988429862
YEAST 4 (3),K-MEANS G-SMOTE,LR,mean_test_geometric_mean_score,0.8411525774076701
YEAST 4 (3),K-MEANS G-SMOTE,KNN,mean_test_roc_auc,0.7837873607076886
YEAST 4 (3),K-MEANS G-SMOTE,KNN,mean_test_f1,0.25629981647831546
YEAST 4 (3),K-MEANS G-SMOTE,KNN,mean_test_geometric_mean_score,0.6309276377167037
YEAST 4 (3),K-MEANS G-SMOTE,DT,mean_test_roc_auc,0.8364225853705602
YEAST 4 (3),K-MEANS G-SMOTE,DT,mean_test_f1,0.2934519056261343
YEAST 4 (3),K-MEANS G-SMOTE,DT,mean_test_geometric_mean_score,0.7300123139009536
YEAST 4 (3),K-MEANS G-SMOTE,GBC,mean_test_roc_auc,0.8821361479598087
YEAST 4 (3),K-MEANS G-SMOTE,GBC,mean_test_f1,0.34989162561576354
YEAST 4 (3),K-MEANS G-SMOTE,GBC,mean_test_geometric_mean_score,0.6683799229900578
PIMA (2),NO OVERSAMPLING,LR,mean_test_roc_auc,0.8016414510516071
PIMA (2),NO OVERSAMPLING,LR,mean_test_f1,0.31597564474481177
PIMA (2),NO OVERSAMPLING,LR,mean_test_geometric_mean_score,0.45348635989693337
PIMA (2),NO OVERSAMPLING,KNN,mean_test_roc_auc,0.712871853525114
PIMA (2),NO OVERSAMPLING,KNN,mean_test_f1,0.34751889580236034
PIMA (2),NO OVERSAMPLING,KNN,mean_test_geometric_mean_score,0.5145949505510317
PIMA (2),NO OVERSAMPLING,DT,mean_test_roc_auc,0.7771409697903168
PIMA (2),NO OVERSAMPLING,DT,mean_test_f1,0.4060304211858996
PIMA (2),NO OVERSAMPLING,DT,mean_test_geometric_mean_score,0.5675675785649728
PIMA (2),NO OVERSAMPLING,GBC,mean_test_roc_auc,0.8317741586738239
PIMA (2),NO OVERSAMPLING,GBC,mean_test_f1,0.47272761415221326
PIMA (2),NO OVERSAMPLING,GBC,mean_test_geometric_mean_score,0.6112994739391886
PIMA (2),G-SMOTE,LR,mean_test_roc_auc,0.8211674646412257
PIMA (2),G-SMOTE,LR,mean_test_f1,0.5623087072390401
PIMA (2),G-SMOTE,LR,mean_test_geometric_mean_score,0.751495261262709
PIMA (2),G-SMOTE,KNN,mean_test_roc_auc,0.7198482919629603
PIMA (2),G-SMOTE,KNN,mean_test_f1,0.4601691412750495
